province_name,district_code,district_name,area_name,area_type,information_source,count
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,152809
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,RADIO,5881
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,TV,39397
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,NEWSPAPER,6947
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,MOBILE,3126
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,COMPUTER/INTERNET,150201
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,112955
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,RADIO,4606
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,TV,13094
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,NEWSPAPER,3923
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,MOBILE,1251
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,COMPUTER/INTERNET,111542
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,39854
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,RADIO,1275
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,TV,26303
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,NEWSPAPER,3024
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,MOBILE,1875
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,COMPUTER/INTERNET,38659
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,54671
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,RADIO,677
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,TV,17429
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,NEWSPAPER,2118
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,MOBILE,1098
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,COMPUTER/INTERNET,53710
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,32617
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,RADIO,444
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,TV,2891
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,NEWSPAPER,724
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,MOBILE,243
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,COMPUTER/INTERNET,32271
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,22054
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,RADIO,233
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,TV,14538
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,NEWSPAPER,1394
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,MOBILE,855
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,COMPUTER/INTERNET,21439
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,58742
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,RADIO,3747
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,TV,16109
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,NEWSPAPER,2054
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,MOBILE,1198
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,COMPUTER/INTERNET,57684
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,44782
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,RADIO,2804
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,TV,6133
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,NEWSPAPER,947
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,MOBILE,301
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,COMPUTER/INTERNET,44151
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,13960
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,URBAN,RADIO,943
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,URBAN,TV,9976
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,URBAN,NEWSPAPER,1107
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,URBAN,MOBILE,897
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,URBAN,COMPUTER/INTERNET,13533
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,39396
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,TOTAL,RADIO,1457
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,TOTAL,TV,5859
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,TOTAL,NEWSPAPER,2775
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,TOTAL,MOBILE,830
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,TOTAL,COMPUTER/INTERNET,38807
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,35556
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,RURAL,RADIO,1358
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,RURAL,TV,4070
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,RURAL,NEWSPAPER,2252
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,RURAL,MOBILE,707
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,RURAL,COMPUTER/INTERNET,35120
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,3840
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,URBAN,RADIO,99
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,URBAN,TV,1789
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,URBAN,NEWSPAPER,523
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,URBAN,MOBILE,123
SINDH,076,KASHMOR DISTRICT,TANGWANI TALUKA,URBAN,COMPUTER/INTERNET,3687
