province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,NA,NA,NA,YES,KAMBAR SHAHDAD KOT DISTRICT,NA,151346,36734,24477,90135,95170,119601,10509,103840,97748,96663,6.13
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,NA,NA,YES,KAMBAR ALI KHAN TALUKA,NA,45312,13629,6468,25215,34700,36621,3999,34423,32225,28932,6.33
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,NA,YES,DOST ALI STC,NA,8554,1976,1166,5412,5393,6113,25,5604,4769,4213,6.08
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,DOST ALI TC,YES,DOST ALI TC,NA,2411,441,166,1804,2344,2240,13,2374,2385,1982,6.14
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,DOST ALI TC,NO,CHACHA,0000000,487,44,46,397,484,420,4,465,483,486,7.14
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,DOST ALI TC,NO,DOST ALI,0000000,892,120,63,709,838,826,2,885,872,614,5.95
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,DOST ALI TC,NO,JUNEJA,0000000,1032,277,57,698,1022,994,7,1024,1030,882,5.83
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,KUR SULEMAN TC,YES,KUR SULEMAN TC,NA,1995,169,139,1687,562,1312,5,1100,582,298,5.31
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,KUR SULEMAN TC,NO,KARIO MURAD ALI,0000000,463,38,45,380,10,212,1,421,109,19,5.86
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,KUR SULEMAN TC,NO,KUR HASSAN,0000000,286,9,3,274,130,5,0,7,6,15,5.63
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,KUR SULEMAN TC,NO,KUR KAMAL,0000000,712,98,60,554,284,664,2,425,408,246,4.93
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,DOST ALI STC,KUR SULEMAN TC,NO,KUR SULEMAN,0000000,534,24,31,479,138,431,2,247,59,18,5.17
