province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,KITCHEN,SEPARATE,107878,49.47,101046
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,KITCHEN,SHARED,55128,25.28,50220
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,KITCHEN,NONE,55079,25.26,48853
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,BATH,SEPARATE,101296,46.45,95770
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,BATH,SHARED,57802,26.5,52746
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,BATH,NONE,58987,27.05,51603
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,LATRINE,SEWER,35458,16.26,33184
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,LATRINE,SEPTIC TANK,13290,6.09,12124
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,LATRINE,OPEN DRAIN,66623,30.55,62326
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,LATRINE,PIT WITH SLAB,42283,19.39,38826
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,LATRINE,OTHER,21284,9.76,19529
SINDH,077,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR SHAHDAD KOT DISTRICT,TOTAL,OWNED,200119,91.76,LATRINE,NONE,39147,17.95,34130
