province_name,district_code,district_name,area_name,area_type,gender,mother_tongue,count
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,TOTAL,1521786
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,URDU,7652
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,PUNJABI,4153
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SINDHI,1479870
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,PUSHTO,362
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BALOCHI,5049
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,KASHMIRI,19
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SARAIKI,8268
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,HINDKO,564
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BRAHVI,14677
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER,1172
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,TOTAL,775934
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,URDU,4011
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,PUNJABI,2077
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SINDHI,754861
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,PUSHTO,208
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BALOCHI,2522
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,KASHMIRI,12
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SARAIKI,4071
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,HINDKO,281
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BRAHVI,7337
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,OTHER,554
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,TOTAL,745530
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,URDU,3638
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,PUNJABI,2074
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,SINDHI,724698
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,PUSHTO,154
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,BALOCHI,2525
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,KASHMIRI,7
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,SARAIKI,4196
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,HINDKO,283
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,BRAHVI,7337
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,OTHER,618
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,TOTAL,322
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,URDU,3
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,PUNJABI,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,SINDHI,311
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,PUSHTO,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,BALOCHI,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,KASHMIRI,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,SARAIKI,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,HINDKO,0
