province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,marital_status,count
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,ALL AGES,199,NEVER MARRIED,134
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,20,NEVER MARRIED,20
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,05-09,11,NEVER MARRIED,11
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,10-14,17,NEVER MARRIED,17
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,15-24,39,NEVER MARRIED,32
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,25-34,49,NEVER MARRIED,29
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,35-44,28,NEVER MARRIED,17
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,45-54,13,NEVER MARRIED,6
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,55-64,12,NEVER MARRIED,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,65-74,6,NEVER MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,4,NEVER MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,ALL AGES,199,MARRIED,53
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,20,MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,05-09,11,MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,10-14,17,MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,15-24,39,MARRIED,7
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,25-34,49,MARRIED,19
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,35-44,28,MARRIED,11
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,45-54,13,MARRIED,6
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,55-64,12,MARRIED,7
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,65-74,6,MARRIED,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,4,MARRIED,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,ALL AGES,199,WIDOWED,12
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,20,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,05-09,11,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,10-14,17,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,15-24,39,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,25-34,49,WIDOWED,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,35-44,28,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,45-54,13,WIDOWED,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,55-64,12,WIDOWED,3
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,65-74,6,WIDOWED,4
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,4,WIDOWED,3
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,ALL AGES,199,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,20,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,05-09,11,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,10-14,17,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,15-24,39,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,25-34,49,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,35-44,28,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,45-54,13,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,55-64,12,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,65-74,6,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,4,DIVORCED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,ALL AGES,143,NEVER MARRIED,106
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BELOW 5 YEARS,13,NEVER MARRIED,13
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,05-09,8,NEVER MARRIED,8
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,10-14,12,NEVER MARRIED,12
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,15-24,28,NEVER MARRIED,24
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,25-34,36,NEVER MARRIED,26
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,35-44,21,NEVER MARRIED,15
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,45-54,9,NEVER MARRIED,6
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,55-64,10,NEVER MARRIED,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,65-74,3,NEVER MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,75 AND ABOVE,3,NEVER MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,ALL AGES,143,MARRIED,32
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BELOW 5 YEARS,13,MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,05-09,8,MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,10-14,12,MARRIED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,15-24,28,MARRIED,4
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,25-34,36,MARRIED,10
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,35-44,21,MARRIED,6
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,45-54,9,MARRIED,3
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,55-64,10,MARRIED,6
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,65-74,3,MARRIED,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,75 AND ABOVE,3,MARRIED,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,ALL AGES,143,WIDOWED,5
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BELOW 5 YEARS,13,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,05-09,8,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,10-14,12,WIDOWED,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,15-24,28,WIDOWED,0
