province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,1,5359,2.07,1.49,137442,52.98,5,3946
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,1,31046,11.97,1.48,137442,52.98,5,22305
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,1,30262,11.67,1.56,137442,52.98,5,20025
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,1,33483,12.91,1.64,137442,52.98,5,20151
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,1,33737,13.01,1.74,137442,52.98,5,18438
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,1,32294,12.45,1.79,137442,52.98,5,16295
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,1,27441,10.58,1.85,137442,52.98,5,12842
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,1,22181,8.55,1.91,137442,52.98,5,9574
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,1,15645,6.03,1.99,137442,52.98,5,6096
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,27963,10.78,2.34,137442,52.98,5,7770
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,2,5359,2.07,1.49,79007,30.46,6.37,884
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,2,31046,11.97,1.48,79007,30.46,6.37,5905
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,2,30262,11.67,1.56,79007,30.46,6.37,6962
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,2,33483,12.91,1.64,79007,30.46,6.37,9125
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,2,33737,13.01,1.74,79007,30.46,6.37,10210
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,2,32294,12.45,1.79,79007,30.46,6.37,10749
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,2,27441,10.58,1.85,79007,30.46,6.37,9829
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,2,22181,8.55,1.91,79007,30.46,6.37,8308
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,2,15645,6.03,1.99,79007,30.46,6.37,6137
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,27963,10.78,2.34,79007,30.46,6.37,10898
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,3,5359,2.07,1.49,24485,9.44,7.1,270
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,3,31046,11.97,1.48,24485,9.44,7.1,1451
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,3,30262,11.67,1.56,24485,9.44,7.1,1709
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,3,33483,12.91,1.64,24485,9.44,7.1,2357
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,3,33737,13.01,1.74,24485,9.44,7.1,2958
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,3,32294,12.45,1.79,24485,9.44,7.1,3192
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,3,27441,10.58,1.85,24485,9.44,7.1,2830
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,3,22181,8.55,1.91,24485,9.44,7.1,2601
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,3,15645,6.03,1.99,24485,9.44,7.1,2062
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,27963,10.78,2.34,24485,9.44,7.1,5055
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,4,5359,2.07,1.49,9971,3.84,7.55,116
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,4,31046,11.97,1.48,9971,3.84,7.55,613
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,4,30262,11.67,1.56,9971,3.84,7.55,748
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,4,33483,12.91,1.64,9971,3.84,7.55,942
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,4,33737,13.01,1.74,9971,3.84,7.55,1102
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,4,32294,12.45,1.79,9971,3.84,7.55,1109
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,4,27441,10.58,1.85,9971,3.84,7.55,1078
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,4,22181,8.55,1.91,9971,3.84,7.55,989
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,4,15645,6.03,1.99,9971,3.84,7.55,795
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,27963,10.78,2.34,9971,3.84,7.55,2479
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,5,5359,2.07,1.49,3462,1.33,7.39,43
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,5,31046,11.97,1.48,3462,1.33,7.39,293
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,5,30262,11.67,1.56,3462,1.33,7.39,289
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,5,33483,12.91,1.64,3462,1.33,7.39,342
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,5,33737,13.01,1.74,3462,1.33,7.39,419
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,5,32294,12.45,1.79,3462,1.33,7.39,392
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,5,27441,10.58,1.85,3462,1.33,7.39,341
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,5,22181,8.55,1.91,3462,1.33,7.39,308
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,5,15645,6.03,1.99,3462,1.33,7.39,238
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,27963,10.78,2.34,3462,1.33,7.39,797
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,6,5359,2.07,1.49,1610,0.62,7.66,16
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,6,31046,11.97,1.48,1610,0.62,7.66,139
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,6,30262,11.67,1.56,1610,0.62,7.66,154
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,6,33483,12.91,1.64,1610,0.62,7.66,171
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,6,33737,13.01,1.74,1610,0.62,7.66,168
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,6,32294,12.45,1.79,1610,0.62,7.66,165
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,6,27441,10.58,1.85,1610,0.62,7.66,163
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,6,22181,8.55,1.91,1610,0.62,7.66,128
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,6,15645,6.03,1.99,1610,0.62,7.66,112
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,27963,10.78,2.34,1610,0.62,7.66,394
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,7,5359,2.07,1.49,2084,0.8,6.5,44
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,7,31046,11.97,1.48,2084,0.8,6.5,180
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,7,30262,11.67,1.56,2084,0.8,6.5,238
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,7,33483,12.91,1.64,2084,0.8,6.5,236
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,7,33737,13.01,1.74,2084,0.8,6.5,283
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,7,32294,12.45,1.79,2084,0.8,6.5,235
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,7,27441,10.58,1.85,2084,0.8,6.5,229
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,7,22181,8.55,1.91,2084,0.8,6.5,173
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,7,15645,6.03,1.99,2084,0.8,6.5,139
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,27963,10.78,2.34,2084,0.8,6.5,327
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,8,5359,2.07,1.49,543,0.21,7.16,7
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,8,31046,11.97,1.48,543,0.21,7.16,62
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,8,30262,11.67,1.56,543,0.21,7.16,62
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,8,33483,12.91,1.64,543,0.21,7.16,53
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,8,33737,13.01,1.74,543,0.21,7.16,64
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,8,32294,12.45,1.79,543,0.21,7.16,66
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,8,27441,10.58,1.85,543,0.21,7.16,48
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,8,22181,8.55,1.91,543,0.21,7.16,42
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,8,15645,6.03,1.99,543,0.21,7.16,26
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,27963,10.78,2.34,543,0.21,7.16,113
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,1 PERSON,9 AND MORE,5359,2.07,1.49,807,0.31,6.45,33
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,2 PERSONS,9 AND MORE,31046,11.97,1.48,807,0.31,6.45,98
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,3 PERSONS,9 AND MORE,30262,11.67,1.56,807,0.31,6.45,75
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,4 PERSONS,9 AND MORE,33483,12.91,1.64,807,0.31,6.45,106
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,5 PERSONS,9 AND MORE,33737,13.01,1.74,807,0.31,6.45,95
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,6 PERSONS,9 AND MORE,32294,12.45,1.79,807,0.31,6.45,91
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,7 PERSONS,9 AND MORE,27441,10.58,1.85,807,0.31,6.45,81
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,8 PERSONS,9 AND MORE,22181,8.55,1.91,807,0.31,6.45,58
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,9 PERSONS,9 AND MORE,15645,6.03,1.99,807,0.31,6.45,40
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,27963,10.78,2.34,807,0.31,6.45,130
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,1,2773,1.98,1.26,90270,64.56,5.11,2369
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,1,17283,12.36,1.26,90270,64.56,5.11,14349
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,1,16241,11.61,1.33,90270,64.56,5.11,12691
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,1,17356,12.41,1.38,90270,64.56,5.11,12680
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,1,17783,12.72,1.46,90270,64.56,5.11,12076
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,1,16946,12.12,1.5,90270,64.56,5.11,10796
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,1,14851,10.62,1.58,90270,64.56,5.11,8755
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,1,12326,8.81,1.65,90270,64.56,5.11,6635
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,1,8897,6.36,1.75,90270,64.56,5.11,4388
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,1,15377,11,2.08,90270,64.56,5.11,5531
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,2,2773,1.98,1.26,36477,26.09,6.73,285
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,2,17283,12.36,1.26,36477,26.09,6.73,2267
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,2,16241,11.61,1.33,36477,26.09,6.73,2727
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,2,17356,12.41,1.38,36477,26.09,6.73,3678
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,2,17783,12.72,1.46,36477,26.09,6.73,4458
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,2,16946,12.12,1.5,36477,26.09,6.73,4799
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,2,14851,10.62,1.58,36477,26.09,6.73,4717
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,2,12326,8.81,1.65,36477,26.09,6.73,4298
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,2,8897,6.36,1.75,36477,26.09,6.73,3296
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,2,15377,11,2.08,36477,26.09,6.73,5952
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,3,2773,1.98,1.26,7835,5.6,8.03,59
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,3,17283,12.36,1.26,7835,5.6,8.03,345
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,3,16241,11.61,1.33,7835,5.6,8.03,417
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,3,17356,12.41,1.38,7835,5.6,8.03,543
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,3,17783,12.72,1.46,7835,5.6,8.03,743
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,3,16946,12.12,1.5,7835,5.6,8.03,863
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,3,14851,10.62,1.58,7835,5.6,8.03,838
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,3,12326,8.81,1.65,7835,5.6,8.03,912
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,3,8897,6.36,1.75,7835,5.6,8.03,758
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,3,15377,11,2.08,7835,5.6,8.03,2357
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,4,2773,1.98,1.26,2917,2.09,8.38,23
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,4,17283,12.36,1.26,2917,2.09,8.38,133
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,4,16241,11.61,1.33,2917,2.09,8.38,198
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,4,17356,12.41,1.38,2917,2.09,8.38,253
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,4,17783,12.72,1.46,2917,2.09,8.38,243
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,4,16946,12.12,1.5,2917,2.09,8.38,260
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,4,14851,10.62,1.58,2917,2.09,8.38,302
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,4,12326,8.81,1.65,2917,2.09,8.38,291
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,4,8897,6.36,1.75,2917,2.09,8.38,268
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,4,15377,11,2.08,2917,2.09,8.38,946
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,5,2773,1.98,1.26,744,0.53,8.63,7
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,5,17283,12.36,1.26,744,0.53,8.63,57
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,5,16241,11.61,1.33,744,0.53,8.63,49
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,5,17356,12.41,1.38,744,0.53,8.63,50
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,5,17783,12.72,1.46,744,0.53,8.63,82
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,5,16946,12.12,1.5,744,0.53,8.63,76
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,5,14851,10.62,1.58,744,0.53,8.63,63
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,5,12326,8.81,1.65,744,0.53,8.63,59
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,5,8897,6.36,1.75,744,0.53,8.63,54
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,5,15377,11,2.08,744,0.53,8.63,247
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,6,2773,1.98,1.26,341,0.24,9.43,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,6,17283,12.36,1.26,341,0.24,9.43,20
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,6,16241,11.61,1.33,341,0.24,9.43,17
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,6,17356,12.41,1.38,341,0.24,9.43,24
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,6,17783,12.72,1.46,341,0.24,9.43,29
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,6,16946,12.12,1.5,341,0.24,9.43,32
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,6,14851,10.62,1.58,341,0.24,9.43,35
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,6,12326,8.81,1.65,341,0.24,9.43,35
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,6,8897,6.36,1.75,341,0.24,9.43,33
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,6,15377,11,2.08,341,0.24,9.43,115
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,7,2773,1.98,1.26,863,0.62,6.58,14
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,7,17283,12.36,1.26,863,0.62,6.58,76
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,7,16241,11.61,1.33,863,0.62,6.58,104
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,7,17356,12.41,1.38,863,0.62,6.58,90
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,7,17783,12.72,1.46,863,0.62,6.58,111
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,7,16946,12.12,1.5,863,0.62,6.58,88
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,7,14851,10.62,1.58,863,0.62,6.58,99
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,7,12326,8.81,1.65,863,0.62,6.58,64
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,7,8897,6.36,1.75,863,0.62,6.58,68
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,7,15377,11,2.08,863,0.62,6.58,149
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,8,2773,1.98,1.26,122,0.09,8.21,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,8,17283,12.36,1.26,122,0.09,8.21,15
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,8,16241,11.61,1.33,122,0.09,8.21,13
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,8,17356,12.41,1.38,122,0.09,8.21,5
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,5 PERSONS,8,17783,12.72,1.46,122,0.09,8.21,11
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,6 PERSONS,8,16946,12.12,1.5,122,0.09,8.21,11
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,7 PERSONS,8,14851,10.62,1.58,122,0.09,8.21,12
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,8 PERSONS,8,12326,8.81,1.65,122,0.09,8.21,11
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,9 PERSONS,8,8897,6.36,1.75,122,0.09,8.21,9
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,8,15377,11,2.08,122,0.09,8.21,35
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,1 PERSON,9 AND MORE,2773,1.98,1.26,264,0.19,6.77,15
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,2 PERSONS,9 AND MORE,17283,12.36,1.26,264,0.19,6.77,21
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,3 PERSONS,9 AND MORE,16241,11.61,1.33,264,0.19,6.77,25
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,RURAL,4 PERSONS,9 AND MORE,17356,12.41,1.38,264,0.19,6.77,33
