province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
SINDH,080,GHOTKI DISTRICT,NA,NA,NA,YES,GHOTKI DISTRICT,NA,1287887,663716,624062,109,35.56,52.99,17.15,22.94,114560,37748,13,59119,10311,8,14194,1721,0,1232382,55505,838981,592836,57417,197979,441309,1168354
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,NA,NA,YES,DAHARKI TALUKA,NA,224423,116233,108173,17,29.42,44.16,13.57,23.53,16587,4724,0,8138,1567,3,2114,368,0,209121,15302,147256,103985,9971,37011,78055,492114
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,NA,YES,DAHARKI STC,NA,83266,43160,40101,5,34.67,50.77,17.46,20,6832,1951,0,3935,723,0,1017,264,0,76342,6924,55199,39113,3692,11708,29851,48538
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,BERUTTA TC,YES,BERUTTA TC,NA,12115,6318,5797,0,13.07,22.48,3.06,0,391,37,0,166,21,0,38,3,0,10489,1626,7679,5587,581,2654,3716,13190
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,BERUTTA TC,NO,BELO BERUTTA,0000000,1668,880,788,0,5.96,9.6,1.84,0,15,1,0,12,2,0,1,0,0,1571,97,1040,784,74,493,405,1904
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,BERUTTA TC,NO,BERUTTA,0000000,3316,1719,1597,0,18.17,32.14,3.3,0,127,5,0,77,11,0,15,2,0,2912,404,2064,1514,137,667,1009,2728
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,BERUTTA TC,NO,CHANAD,0000000,3152,1679,1473,0,7.92,13.26,2.19,0,42,5,0,29,5,0,9,0,0,2366,786,1994,1455,136,838,931,4509
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,BERUTTA TC,NO,MIRZANPUR,0000000,3979,2040,1939,0,15.85,27.33,4.01,0,207,26,0,48,3,0,13,1,0,3640,339,2581,1834,234,656,1371,4049
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,DAHARKI TC,YES,DAHARKI TC,NA,13858,7187,6670,1,34.46,53.34,14.53,0,1170,338,0,743,97,0,137,22,0,12499,1359,8943,6498,573,2796,5080,5872
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,DAHARKI TC,NO,JUNG,0000000,9143,4688,4454,1,38.38,58.5,17.44,0,857,280,0,585,82,0,116,21,0,8174,969,6065,4357,397,1702,3594,2526
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,DAHARKI TC,NO,WAHI GUL KHAN,0000000,4715,2499,2216,0,26.2,42.7,8.27,0,313,58,0,158,15,0,21,1,0,4325,390,2878,2141,176,1094,1486,3346
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,KATTA TC,YES,KATTA TC,NA,20125,10449,9675,1,37.72,55.48,18.63,100,1997,598,0,1045,172,0,265,33,0,18854,1271,13679,9364,952,1971,7462,8990
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,KATTA TC,NO,CHORANWALO,0000000,2599,1336,1263,0,34.41,54.28,14.09,0,241,58,0,99,17,0,35,12,0,2546,53,1665,1251,124,572,887,2290
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,KATTA TC,NO,GURELO,0000000,4230,2214,2016,0,30.77,48.26,11.85,0,344,81,0,162,17,0,32,4,0,3911,319,2707,1834,170,478,1395,1708
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,KATTA TC,NO,KATTA,0000000,5034,2644,2389,1,30.17,47.56,10.53,100,527,68,0,235,24,0,43,0,0,4707,327,3679,2325,276,179,2027,2500
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,KATTA TC,NO,SAINDINO MALIK,0000000,8262,4255,4007,0,46.98,64.68,28.32,0,885,391,0,549,114,0,155,17,0,7690,572,5628,3954,382,742,3153,2492
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,RAHARKI TC,YES,RAHARKI TC,NA,22411,11608,10802,1,42.3,60.48,22.88,0,2161,847,0,1464,375,0,474,195,0,20214,2197,15292,10920,902,3728,9067,7828
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,RAHARKI TC,NO,ALAM ARAIN,0000000,3997,2111,1886,0,30.29,44.21,13.94,0,355,114,0,175,32,0,50,3,0,3637,360,2605,1774,179,818,1413,1031
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,RAHARKI TC,NO,DHANDH RAHARKI,0000000,4010,2089,1921,0,34.35,56.08,11.11,0,360,82,0,193,13,0,24,0,0,3757,253,2626,1798,130,539,1403,3070
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,RAHARKI TC,NO,HAMIDPUR,0000000,6110,3166,2944,0,31.97,52.54,9.96,0,594,137,0,302,19,0,37,1,0,5089,1021,4070,2922,242,735,2391,1384
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,RAHARKI TC,NO,RAHARKI,0000000,8294,4242,4051,1,58.04,75.5,40.14,0,852,514,0,794,311,0,363,191,0,7731,563,5991,4426,351,1636,3860,2343
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,SANKO TC,YES,SANKO TC,NA,14757,7598,7157,2,35.63,48.8,21.48,0,1113,131,0,517,58,0,103,11,0,14286,471,9606,6744,684,559,4526,12658
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,SANKO TC,NO,BAGO DARO,0000000,3723,1909,1814,0,29.04,46.71,10.25,0,337,23,0,142,26,0,27,3,0,3665,58,2417,1695,168,147,1189,4078
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,SANKO TC,NO,GOI,0000000,2233,1178,1055,0,21.39,37.24,4.03,0,166,21,0,45,3,0,5,0,0,2201,32,1454,1027,107,5,621,2282
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,SANKO TC,NO,JHANWAR,0000000,3658,1916,1741,1,22.36,35.17,7.88,0,213,44,0,101,11,0,6,0,0,3470,188,2326,1615,160,393,1047,2799
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI STC,SANKO TC,NO,SANKO,0000000,5143,2595,2547,1,55.44,65.05,45.48,0,397,43,0,229,18,0,65,8,0,4950,193,3409,2407,249,14,1669,3499
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,KHENJNOO STC,NA,YES,KHENJNOO STC,NA,141157,73073,68072,12,26.28,40.22,11.22,25,9755,2773,0,4203,844,3,1097,104,0,132779,8378,92057,64872,6279,25303,48204,443576
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,KHENJNOO STC,GULOO PITAFI TC,YES,GULOO PITAFI TC,NA,28201,14379,13820,2,17.55,26.79,7.77,50,1196,448,0,669,99,1,217,15,0,26644,1557,18571,13065,1255,6371,10109,316110
