province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
SINDH,080,GHOTKI DISTRICT,NA,NA,NA,YES,GHOTKI DISTRICT,360821,186556,174209,56,58.48,72.2,43.91,28.57,40006,26086,5,30848,15590,5,12934,4412,3,311973,48848,253600,183160,15206,61871,147705
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,NA,NA,YES,DAHARKI TALUKA,86286,44846,41431,9,59.28,70.32,47.37,22.22,9157,6033,1,7205,4024,1,2729,1358,0,70994,15292,60862,44021,3635,18443,36601
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI TC,NA,YES,DAHARKI TC,86286,44846,41431,9,59.28,70.32,47.37,22.22,9157,6033,1,7205,4024,1,2729,1358,0,70994,15292,60862,44021,3635,18443,36601
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI TC,CHARGE NO 03,YES,CHARGE NO 03,86286,44846,41431,9,59.28,70.32,47.37,22.22,9157,6033,1,7205,4024,1,2729,1358,0,70994,15292,60862,44021,3635,18443,36601
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI TC,CHARGE NO 03,NO,CIRCLE NO 01,27256,14209,13046,1,54.11,65.61,41.49,0,2934,1732,0,1823,955,0,632,254,0,23201,4055,19055,13557,1095,5525,10994
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI TC,CHARGE NO 03,NO,CIRCLE NO 02,24080,12415,11659,6,61.76,70.27,52.85,33.33,2392,1930,1,2400,1717,1,803,432,0,16662,7418,17371,12782,1168,5990,10791
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI TC,CHARGE NO 03,NO,CIRCLE NO 03,20349,10484,9864,1,63.9,77.03,50.17,0,2429,1485,0,1693,780,0,539,256,0,17159,3190,14192,10153,822,3306,8231
SINDH,080,GHOTKI DISTRICT,DAHARKI TALUKA,DAHARKI TC,CHARGE NO 03,NO,CIRCLE NO 04,14601,7738,6862,1,58.3,70.1,44.76,0,1402,886,0,1289,572,0,755,416,0,13972,629,10244,7529,550,3622,6585
SINDH,080,GHOTKI DISTRICT,GHOTKI TALUKA,NA,NA,YES,GHOTKI TALUKA,124346,64169,60150,27,62.82,76.89,48.01,22.22,15014,10371,4,11461,5841,2,4979,1540,0,108357,15989,88356,63871,5343,17919,51454
SINDH,080,GHOTKI DISTRICT,GHOTKI TALUKA,ADALPUR TC,NA,YES,ADALPUR TC,12948,6725,6222,1,60.33,75.75,43.8,0,1650,1146,0,1233,483,0,407,53,0,12243,705,9196,6652,602,2134,5070
