province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,HEAD,ALL SEXES,405808
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,HEAD,MALE,364966
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,HEAD,FEMALE,40812
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,HEAD,TRANSGENDER,30
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SPOUSE,ALL SEXES,363446
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SPOUSE,MALE,12302
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SPOUSE,FEMALE,351144
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,331611
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,MALE,211025
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,120583
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,3
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,42840
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,1230
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,41610
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,TRANSGENDER,NA
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,ALL SEXES,6431
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,MALE,3782
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,FEMALE,2648
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,TRANSGENDER,1
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,ALL SEXES,39046
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,MALE,6713
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,FEMALE,32333
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,TRANSGENDER,NA
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,ALL SEXES,55506
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,MALE,35797
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,FEMALE,19690
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,TRANSGENDER,19
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,ALL SEXES,47852
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,MALE,18718
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,FEMALE,29102
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,TRANSGENDER,32
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,ALL SEXES,23098
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,MALE,13076
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,FEMALE,9997
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,TRANSGENDER,25
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,NEVER MARRIED,HEAD,ALL SEXES,12836
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,NEVER MARRIED,HEAD,MALE,12136
