province_name,district_code,district_name,area_name,area_type,information_source,count
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,327878
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,RADIO,7347
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,TV,141355
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,NEWSPAPER,18418
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,MOBILE,5233
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,TOTAL,COMPUTER/INTERNET,318857
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,212067
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,RURAL,RADIO,4396
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,RURAL,TV,69403
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,RURAL,NEWSPAPER,9777
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,RURAL,MOBILE,2066
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,RURAL,COMPUTER/INTERNET,206287
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,115811
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,URBAN,RADIO,2951
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,URBAN,TV,71952
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,URBAN,NEWSPAPER,8641
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,URBAN,MOBILE,3167
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR DISTRICT,URBAN,COMPUTER/INTERNET,112570
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,33257
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,TOTAL,RADIO,817
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,TOTAL,TV,8518
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,TOTAL,NEWSPAPER,1346
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,TOTAL,MOBILE,333
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,TOTAL,COMPUTER/INTERNET,32600
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,26584
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,RURAL,RADIO,722
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,RURAL,TV,5956
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,RURAL,NEWSPAPER,1066
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,RURAL,MOBILE,180
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,RURAL,COMPUTER/INTERNET,26102
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,6673
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,URBAN,RADIO,95
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,URBAN,TV,2562
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,URBAN,NEWSPAPER,280
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,URBAN,MOBILE,153
SINDH,081,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,URBAN,COMPUTER/INTERNET,6498
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,34147
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,TOTAL,RADIO,633
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,TOTAL,TV,15693
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,TOTAL,NEWSPAPER,1679
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,TOTAL,MOBILE,914
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,TOTAL,COMPUTER/INTERNET,33233
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,20562
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,RURAL,RADIO,477
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,RURAL,TV,6741
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,RURAL,NEWSPAPER,905
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,RURAL,MOBILE,381
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,RURAL,COMPUTER/INTERNET,20013
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,13585
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,URBAN,RADIO,156
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,URBAN,TV,8952
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,URBAN,NEWSPAPER,774
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,URBAN,MOBILE,533
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,URBAN,COMPUTER/INTERNET,13220
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,64436
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,TOTAL,RADIO,1828
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,TOTAL,TV,39130
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,TOTAL,NEWSPAPER,4875
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,TOTAL,MOBILE,1641
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,TOTAL,COMPUTER/INTERNET,62496
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,27167
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,RURAL,RADIO,574
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,RURAL,TV,10977
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,RURAL,NEWSPAPER,1417
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,RURAL,MOBILE,332
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,RURAL,COMPUTER/INTERNET,26224
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,37269
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,URBAN,RADIO,1254
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,URBAN,TV,28153
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,URBAN,NEWSPAPER,3458
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,URBAN,MOBILE,1309
