province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,HEAD,ALL SEXES,257124
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,HEAD,MALE,236255
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,HEAD,FEMALE,20846
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,HEAD,TRANSGENDER,23
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SPOUSE,ALL SEXES,237725
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SPOUSE,MALE,6375
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SPOUSE,FEMALE,231350
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,215129
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,MALE,135843
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,79273
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,13
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,20973
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,743
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,20230
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,TRANSGENDER,NA
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,ALL SEXES,3375
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,MALE,1935
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,FEMALE,1438
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,TRANSGENDER,2
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,ALL SEXES,21297
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,MALE,3710
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,FEMALE,17587
