province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,religious_affiliation,count
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,ALL AGES,460,MUSLIM,458
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,62,MUSLIM,62
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,05-09,64,MUSLIM,64
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,10-14,52,MUSLIM,52
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,15-24,82,MUSLIM,82
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,25-34,50,MUSLIM,50
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,35-44,59,MUSLIM,59
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,45-54,31,MUSLIM,31
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,55-64,22,MUSLIM,22
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,65-74,30,MUSLIM,29
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,8,MUSLIM,7
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,ALL AGES,460,NON-MUSLIM,2
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,62,NON-MUSLIM,0
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,05-09,64,NON-MUSLIM,0
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,10-14,52,NON-MUSLIM,0
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,ALL SEXES,15-24,82,NON-MUSLIM,0
