province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,KITCHEN,SEPARATE,175126,49,163169
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,KITCHEN,SHARED,61812,17.29,58416
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,KITCHEN,NONE,120464,33.71,99127
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,BATH,SEPARATE,145048,40.58,136497
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,BATH,SHARED,57327,16.04,54190
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,BATH,NONE,155027,43.38,130025
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,LATRINE,SEWER,40335,11.29,36585
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,LATRINE,SEPTIC TANK,16632,4.65,15778
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,LATRINE,OPEN DRAIN,47921,13.41,44423
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,LATRINE,PIT WITH SLAB,80395,22.49,76145
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,LATRINE,OTHER,54273,15.19,47678
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OWNED,320712,89.73,LATRINE,NONE,117846,32.97,100103
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,KITCHEN,SEPARATE,175126,49,3373
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,KITCHEN,SHARED,61812,17.29,1014
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,KITCHEN,NONE,120464,33.71,809
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,BATH,SEPARATE,145048,40.58,3381
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,BATH,SHARED,57327,16.04,1080
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,BATH,NONE,155027,43.38,735
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,LATRINE,SEWER,40335,11.29,2250
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,LATRINE,SEPTIC TANK,16632,4.65,257
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,LATRINE,OPEN DRAIN,47921,13.41,1046
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,LATRINE,PIT WITH SLAB,80395,22.49,899
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,LATRINE,OTHER,54273,15.19,208
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENTED,5196,1.45,LATRINE,NONE,117846,32.97,536
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,KITCHEN,SEPARATE,175126,49,8584
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,KITCHEN,SHARED,61812,17.29,2382
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,KITCHEN,NONE,120464,33.71,20528
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,BATH,SEPARATE,145048,40.58,5170
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,BATH,SHARED,57327,16.04,2057
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,BATH,NONE,155027,43.38,24267
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,LATRINE,SEWER,40335,11.29,1500
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,LATRINE,SEPTIC TANK,16632,4.65,597
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,LATRINE,OPEN DRAIN,47921,13.41,2452
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,LATRINE,PIT WITH SLAB,80395,22.49,3351
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,LATRINE,OTHER,54273,15.19,6387
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,RENT FREE,31494,8.81,LATRINE,NONE,117846,32.97,17207
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,KITCHEN,SEPARATE,126611,45.02,119336
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,KITCHEN,SHARED,47218,16.79,45038
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,KITCHEN,NONE,107377,38.18,87962
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,BATH,SEPARATE,97710,34.75,93776
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,BATH,SHARED,42636,15.16,40772
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,BATH,NONE,140860,50.09,117788
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,LATRINE,SEWER,12614,4.49,12016
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,LATRINE,SEPTIC TANK,12587,4.48,12178
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,LATRINE,OPEN DRAIN,35451,12.61,33333
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,LATRINE,PIT WITH SLAB,62288,22.15,59437
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,LATRINE,OTHER,49631,17.65,43472
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OWNED,252336,89.73,LATRINE,NONE,108635,38.63,91900
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,KITCHEN,SEPARATE,126611,45.02,512
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,KITCHEN,SHARED,47218,16.79,247
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,KITCHEN,NONE,107377,38.18,521
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,BATH,SEPARATE,97710,34.75,435
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,BATH,SHARED,42636,15.16,270
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,BATH,NONE,140860,50.09,575
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,LATRINE,SEWER,12614,4.49,91
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,LATRINE,SEPTIC TANK,12587,4.48,59
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,LATRINE,OPEN DRAIN,35451,12.61,243
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,LATRINE,PIT WITH SLAB,62288,22.15,256
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,LATRINE,OTHER,49631,17.65,173
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENTED,1280,0.46,LATRINE,NONE,108635,38.63,458
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,RENT FREE,27590,9.81,KITCHEN,SEPARATE,126611,45.02,6763
