province_name,district_code,district_name,area_name,area_type,gender,count
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,BOTH SEXES,28058
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,MALE,15109
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,FEMALE,12949
SINDH,084,DADU DISTRICT,DADU DISTRICT,RURAL,BOTH SEXES,23256
SINDH,084,DADU DISTRICT,DADU DISTRICT,RURAL,MALE,12105
SINDH,084,DADU DISTRICT,DADU DISTRICT,RURAL,FEMALE,11151
SINDH,084,DADU DISTRICT,DADU DISTRICT,URBAN,BOTH SEXES,4802
SINDH,084,DADU DISTRICT,DADU DISTRICT,URBAN,MALE,3004
SINDH,084,DADU DISTRICT,DADU DISTRICT,URBAN,FEMALE,1798
SINDH,084,DADU DISTRICT,DADU TALUKA,TOTAL,BOTH SEXES,7260
SINDH,084,DADU DISTRICT,DADU TALUKA,TOTAL,MALE,4064
SINDH,084,DADU DISTRICT,DADU TALUKA,TOTAL,FEMALE,3196
SINDH,084,DADU DISTRICT,DADU TALUKA,RURAL,BOTH SEXES,5771
SINDH,084,DADU DISTRICT,DADU TALUKA,RURAL,MALE,2886
SINDH,084,DADU DISTRICT,DADU TALUKA,RURAL,FEMALE,2885
SINDH,084,DADU DISTRICT,DADU TALUKA,URBAN,BOTH SEXES,1489
SINDH,084,DADU DISTRICT,DADU TALUKA,URBAN,MALE,1178
SINDH,084,DADU DISTRICT,DADU TALUKA,URBAN,FEMALE,311
SINDH,084,DADU DISTRICT,JOHI TALUKA,TOTAL,BOTH SEXES,6154
SINDH,084,DADU DISTRICT,JOHI TALUKA,TOTAL,MALE,3551
SINDH,084,DADU DISTRICT,JOHI TALUKA,TOTAL,FEMALE,2603
SINDH,084,DADU DISTRICT,JOHI TALUKA,RURAL,BOTH SEXES,5570
SINDH,084,DADU DISTRICT,JOHI TALUKA,RURAL,MALE,3199
SINDH,084,DADU DISTRICT,JOHI TALUKA,RURAL,FEMALE,2371
SINDH,084,DADU DISTRICT,JOHI TALUKA,URBAN,BOTH SEXES,584
SINDH,084,DADU DISTRICT,JOHI TALUKA,URBAN,MALE,352
SINDH,084,DADU DISTRICT,JOHI TALUKA,URBAN,FEMALE,232
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,TOTAL,BOTH SEXES,4284
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,TOTAL,MALE,2074
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,TOTAL,FEMALE,2210
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,RURAL,BOTH SEXES,2682
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,RURAL,MALE,1279
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,RURAL,FEMALE,1403
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,URBAN,BOTH SEXES,1602
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,URBAN,MALE,795
SINDH,084,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,URBAN,FEMALE,807
SINDH,084,DADU DISTRICT,MEHAR TALUKA,TOTAL,BOTH SEXES,10360
SINDH,084,DADU DISTRICT,MEHAR TALUKA,TOTAL,MALE,5420
SINDH,084,DADU DISTRICT,MEHAR TALUKA,TOTAL,FEMALE,4940
SINDH,084,DADU DISTRICT,MEHAR TALUKA,RURAL,BOTH SEXES,9233
SINDH,084,DADU DISTRICT,MEHAR TALUKA,RURAL,MALE,4741
SINDH,084,DADU DISTRICT,MEHAR TALUKA,RURAL,FEMALE,4492
SINDH,084,DADU DISTRICT,MEHAR TALUKA,URBAN,BOTH SEXES,1127
SINDH,084,DADU DISTRICT,MEHAR TALUKA,URBAN,MALE,679
SINDH,084,DADU DISTRICT,MEHAR TALUKA,URBAN,FEMALE,448
