province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,KITCHEN,SEPARATE,132208,49.41,3931
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,KITCHEN,SHARED,67142,25.09,1627
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,KITCHEN,NONE,68247,25.5,1843
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,BATH,SEPARATE,123785,46.26,3805
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,BATH,SHARED,72279,27.01,1709
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,BATH,NONE,71533,26.73,1887
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,LATRINE,SEWER,39064,14.6,1269
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,LATRINE,SEPTIC TANK,16556,6.19,495
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,LATRINE,OPEN DRAIN,86440,32.3,2187
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,LATRINE,PIT WITH SLAB,61731,23.07,1865
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,LATRINE,OTHER,26468,9.89,693
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,UNDER CONSTRUCTION,7401,2.77,LATRINE,NONE,37338,13.95,892
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,KITCHEN,SEPARATE,132208,49.41,22215
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,KITCHEN,SHARED,67142,25.09,8182
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,KITCHEN,NONE,68247,25.5,9845
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,BATH,SEPARATE,123785,46.26,20690
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,BATH,SHARED,72279,27.01,9063
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,BATH,NONE,71533,26.73,10489
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,LATRINE,SEWER,39064,14.6,5138
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,LATRINE,SEPTIC TANK,16556,6.19,2378
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,LATRINE,OPEN DRAIN,86440,32.3,12240
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,LATRINE,PIT WITH SLAB,61731,23.07,11316
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,LATRINE,OTHER,26468,9.89,4088
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,LESS THAN 5 YEARS,40242,15.04,LATRINE,NONE,37338,13.95,5082
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,KITCHEN,SEPARATE,132208,49.41,63024
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,KITCHEN,SHARED,67142,25.09,30537
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,KITCHEN,NONE,68247,25.5,29409
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,BATH,SEPARATE,123785,46.26,57824
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,BATH,SHARED,72279,27.01,33032
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,BATH,NONE,71533,26.73,32114
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,LATRINE,SEWER,39064,14.6,17398
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,LATRINE,SEPTIC TANK,16556,6.19,9042
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,LATRINE,OPEN DRAIN,86440,32.3,38442
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,LATRINE,PIT WITH SLAB,61731,23.07,29231
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,LATRINE,OTHER,26468,9.89,11426
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,5-10 YEARS,122970,45.95,LATRINE,NONE,37338,13.95,17431
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,KITCHEN,SEPARATE,132208,49.41,40560
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,KITCHEN,SHARED,67142,25.09,24603
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,KITCHEN,NONE,68247,25.5,24474
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,BATH,SEPARATE,123785,46.26,39048
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,BATH,SHARED,72279,27.01,26324
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,BATH,NONE,71533,26.73,24265
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,LATRINE,SEWER,39064,14.6,13925
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,LATRINE,SEPTIC TANK,16556,6.19,4205
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,LATRINE,OPEN DRAIN,86440,32.3,31613
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,LATRINE,PIT WITH SLAB,61731,23.07,17784
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,LATRINE,OTHER,26468,9.89,9590
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,11-50 YEARS,89637,33.5,LATRINE,NONE,37338,13.95,12520
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,KITCHEN,SEPARATE,132208,49.41,2478
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,KITCHEN,SHARED,67142,25.09,2193
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,KITCHEN,NONE,68247,25.5,2676
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,BATH,SEPARATE,123785,46.26,2418
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,BATH,SHARED,72279,27.01,2151
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,BATH,NONE,71533,26.73,2778
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,LATRINE,SEWER,39064,14.6,1334
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,LATRINE,SEPTIC TANK,16556,6.19,436
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,LATRINE,OPEN DRAIN,86440,32.3,1958
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,LATRINE,PIT WITH SLAB,61731,23.07,1535
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,LATRINE,OTHER,26468,9.89,671
SINDH,084,DADU DISTRICT,DADU DISTRICT,TOTAL,OVER 50 YEARS,7347,2.75,LATRINE,NONE,37338,13.95,1413
SINDH,084,DADU DISTRICT,DADU DISTRICT,RURAL,UNDER CONSTRUCTION,5524,2.64,KITCHEN,SEPARATE,100317,48.02,2870
SINDH,084,DADU DISTRICT,DADU DISTRICT,RURAL,UNDER CONSTRUCTION,5524,2.64,KITCHEN,SHARED,44958,21.52,1012
SINDH,084,DADU DISTRICT,DADU DISTRICT,RURAL,UNDER CONSTRUCTION,5524,2.64,KITCHEN,NONE,63612,30.45,1642
SINDH,084,DADU DISTRICT,DADU DISTRICT,RURAL,UNDER CONSTRUCTION,5524,2.64,BATH,SEPARATE,92056,44.07,2709
