province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,ALL SEXES,2199928,100,REGULAR,430611,98.94,2156198
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,ALL SEXES,2199928,100,INSTITUTIONAL,4321,0.99,42730
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,ALL SEXES,2199928,100,HOMELESS,313,0.07,1000
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,ALL SEXES,2199928,100,TOTAL,435245,100,2199928
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,MALE,1145216,52.06,REGULAR,430611,98.94,1114229
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,MALE,1145216,52.06,INSTITUTIONAL,4321,0.99,30250
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,MALE,1145216,52.06,HOMELESS,313,0.07,737
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,MALE,1145216,52.06,TOTAL,435245,100,1145216
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,FEMALE,1054407,47.93,REGULAR,430611,98.94,1041674
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,FEMALE,1054407,47.93,INSTITUTIONAL,4321,0.99,12472
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,FEMALE,1054407,47.93,HOMELESS,313,0.07,261
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,FEMALE,1054407,47.93,TOTAL,435245,100,1054407
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,TRANSGENDER,305,0.01,REGULAR,430611,98.94,295
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,TRANSGENDER,305,0.01,INSTITUTIONAL,4321,0.99,8
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,TRANSGENDER,305,0.01,HOMELESS,313,0.07,2
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,TOTAL,TRANSGENDER,305,0.01,TOTAL,435245,100,305
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,ALL SEXES,373410,100,REGULAR,72025,98.91,367646
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,ALL SEXES,373410,100,INSTITUTIONAL,703,0.97,5391
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,ALL SEXES,373410,100,HOMELESS,94,0.13,373
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,ALL SEXES,373410,100,TOTAL,72822,100,373410
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,MALE,193286,51.76,REGULAR,72025,98.91,189913
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,MALE,193286,51.76,INSTITUTIONAL,703,0.97,3169
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,MALE,193286,51.76,HOMELESS,94,0.13,204
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,MALE,193286,51.76,TOTAL,72822,100,193286
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,FEMALE,180086,48.23,REGULAR,72025,98.91,177696
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,FEMALE,180086,48.23,INSTITUTIONAL,703,0.97,2222
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,FEMALE,180086,48.23,HOMELESS,94,0.13,168
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,FEMALE,180086,48.23,TOTAL,72822,100,180086
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,TRANSGENDER,38,0.01,REGULAR,72025,98.91,37
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,TRANSGENDER,38,0.01,INSTITUTIONAL,703,0.97,NA
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,TRANSGENDER,38,0.01,HOMELESS,94,0.13,1
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,RURAL,TRANSGENDER,38,0.01,TOTAL,72822,100,38
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,ALL SEXES,1826518,100,REGULAR,358586,98.94,1788552
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,ALL SEXES,1826518,100,INSTITUTIONAL,3618,1,37339
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,ALL SEXES,1826518,100,HOMELESS,219,0.06,627
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,ALL SEXES,1826518,100,TOTAL,362423,100,1826518
