province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,HEAD,ALL SEXES,178726
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,HEAD,MALE,161753
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,HEAD,FEMALE,16951
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,HEAD,TRANSGENDER,22
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SPOUSE,ALL SEXES,157889
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SPOUSE,MALE,5083
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SPOUSE,FEMALE,152806
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,147427
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,MALE,92149
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,55271
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,7
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,13446
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,493
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,12953
