province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,ALL SEXES,993908,100,REGULAR,178651,98.43,959477
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,ALL SEXES,993908,100,INSTITUTIONAL,2749,1.51,34102
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,ALL SEXES,993908,100,HOMELESS,98,0.05,329
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,ALL SEXES,993908,100,TOTAL,181498,100,993908
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,MALE,523069,52.63,REGULAR,178651,98.43,498729
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,MALE,523069,52.63,INSTITUTIONAL,2749,1.51,24115
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,MALE,523069,52.63,HOMELESS,98,0.05,225
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,MALE,523069,52.63,TOTAL,181498,100,523069
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,FEMALE,470702,47.36,REGULAR,178651,98.43,460619
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,FEMALE,470702,47.36,INSTITUTIONAL,2749,1.51,9981
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,FEMALE,470702,47.36,HOMELESS,98,0.05,102
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,FEMALE,470702,47.36,TOTAL,181498,100,470702
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TRANSGENDER,137,0.01,REGULAR,178651,98.43,129
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TRANSGENDER,137,0.01,INSTITUTIONAL,2749,1.51,6
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TRANSGENDER,137,0.01,HOMELESS,98,0.05,2
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,TOTAL,TRANSGENDER,137,0.01,TOTAL,181498,100,137
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,ALL SEXES,561287,100,REGULAR,102564,98.93,537990
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,ALL SEXES,561287,100,INSTITUTIONAL,1066,1.03,23124
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,ALL SEXES,561287,100,HOMELESS,45,0.04,173
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,ALL SEXES,561287,100,TOTAL,103675,100,561287
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,MALE,297130,52.94,REGULAR,102564,98.93,278925
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,MALE,297130,52.94,INSTITUTIONAL,1066,1.03,18097
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,MALE,297130,52.94,HOMELESS,45,0.04,108
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,MALE,297130,52.94,TOTAL,103675,100,297130
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,FEMALE,264113,47.05,REGULAR,102564,98.93,259023
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,FEMALE,264113,47.05,INSTITUTIONAL,1066,1.03,5027
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,FEMALE,264113,47.05,HOMELESS,45,0.04,63
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,FEMALE,264113,47.05,TOTAL,103675,100,264113
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,TRANSGENDER,44,0.01,REGULAR,102564,98.93,42
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,RURAL,TRANSGENDER,44,0.01,INSTITUTIONAL,1066,1.03,0
