province_name,district_code,district_name,area_name,area_type,gender,total_population,literacy_ratio,literacy_status,count
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,ALL SEXES,540594,42.63,ILLITERATE,310164
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,ALL SEXES,540594,42.63,TOTAL LITERATE,230430
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,ALL SEXES,540594,42.63,FORMAL LITERATE,226965
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,ALL SEXES,540594,42.63,INFORMAL LITERATE,3465
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,MALE,278598,54.05,ILLITERATE,128018
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,MALE,278598,54.05,TOTAL LITERATE,150580
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,MALE,278598,54.05,FORMAL LITERATE,148886
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,MALE,278598,54.05,INFORMAL LITERATE,1694
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,FEMALE,261919,30.48,ILLITERATE,182085
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,FEMALE,261919,30.48,TOTAL LITERATE,79834
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,FEMALE,261919,30.48,FORMAL LITERATE,78064
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,FEMALE,261919,30.48,INFORMAL LITERATE,1770
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,TRANSGENDER,77,20.78,ILLITERATE,61
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,TRANSGENDER,77,20.78,TOTAL LITERATE,16
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,TRANSGENDER,77,20.78,FORMAL LITERATE,15
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,TRANSGENDER,77,20.78,INFORMAL LITERATE,1
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,ALL SEXES,407599,37.06,ILLITERATE,256554
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,ALL SEXES,407599,37.06,TOTAL LITERATE,151045
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,ALL SEXES,407599,37.06,FORMAL LITERATE,148106
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,ALL SEXES,407599,37.06,INFORMAL LITERATE,2939
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,MALE,209677,48.94,ILLITERATE,107054
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,MALE,209677,48.94,TOTAL LITERATE,102623
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,MALE,209677,48.94,FORMAL LITERATE,101180
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,MALE,209677,48.94,INFORMAL LITERATE,1443
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,FEMALE,197862,24.47,ILLITERATE,149449
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,FEMALE,197862,24.47,TOTAL LITERATE,48413
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,FEMALE,197862,24.47,FORMAL LITERATE,46918
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,FEMALE,197862,24.47,INFORMAL LITERATE,1495
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,TRANSGENDER,60,15,ILLITERATE,51
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,TRANSGENDER,60,15,TOTAL LITERATE,9
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,TRANSGENDER,60,15,FORMAL LITERATE,8
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,TRANSGENDER,60,15,INFORMAL LITERATE,1
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,ALL SEXES,132995,59.69,ILLITERATE,53610
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,ALL SEXES,132995,59.69,TOTAL LITERATE,79385
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,ALL SEXES,132995,59.69,FORMAL LITERATE,78859
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,ALL SEXES,132995,59.69,INFORMAL LITERATE,526
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,MALE,68921,69.58,ILLITERATE,20964
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,MALE,68921,69.58,TOTAL LITERATE,47957
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,MALE,68921,69.58,FORMAL LITERATE,47706
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,MALE,68921,69.58,INFORMAL LITERATE,251
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,FEMALE,64057,49.05,ILLITERATE,32636
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,FEMALE,64057,49.05,TOTAL LITERATE,31421
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,FEMALE,64057,49.05,FORMAL LITERATE,31146
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,FEMALE,64057,49.05,INFORMAL LITERATE,275
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,TRANSGENDER,17,41.18,ILLITERATE,10
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,TRANSGENDER,17,41.18,TOTAL LITERATE,7
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,TRANSGENDER,17,41.18,FORMAL LITERATE,7
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,TRANSGENDER,17,41.18,INFORMAL LITERATE,0
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,ALL SEXES,186571,45.46,ILLITERATE,101761
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,ALL SEXES,186571,45.46,TOTAL LITERATE,84810
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,ALL SEXES,186571,45.46,FORMAL LITERATE,83526
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,ALL SEXES,186571,45.46,INFORMAL LITERATE,1284
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,MALE,96222,56.08,ILLITERATE,42263
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,MALE,96222,56.08,TOTAL LITERATE,53959
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,MALE,96222,56.08,FORMAL LITERATE,53366
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,MALE,96222,56.08,INFORMAL LITERATE,593
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,FEMALE,90331,34.15,ILLITERATE,59486
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,FEMALE,90331,34.15,TOTAL LITERATE,30845
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,FEMALE,90331,34.15,FORMAL LITERATE,30155
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,FEMALE,90331,34.15,INFORMAL LITERATE,690
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,TRANSGENDER,18,33.33,ILLITERATE,12
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,TRANSGENDER,18,33.33,TOTAL LITERATE,6
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,TRANSGENDER,18,33.33,FORMAL LITERATE,5
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,TRANSGENDER,18,33.33,INFORMAL LITERATE,1
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,ALL SEXES,99993,34.5,ILLITERATE,65499
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,ALL SEXES,99993,34.5,TOTAL LITERATE,34494
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,ALL SEXES,99993,34.5,FORMAL LITERATE,33559
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,ALL SEXES,99993,34.5,INFORMAL LITERATE,935
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,MALE,51365,45.85,ILLITERATE,27815
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,MALE,51365,45.85,TOTAL LITERATE,23550
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,MALE,51365,45.85,FORMAL LITERATE,23137
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,MALE,51365,45.85,INFORMAL LITERATE,413
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,FEMALE,48621,22.5,ILLITERATE,37679
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,FEMALE,48621,22.5,TOTAL LITERATE,10942
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,FEMALE,48621,22.5,FORMAL LITERATE,10421
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,FEMALE,48621,22.5,INFORMAL LITERATE,521
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,TRANSGENDER,7,28.57,ILLITERATE,5
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,TRANSGENDER,7,28.57,TOTAL LITERATE,2
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,TRANSGENDER,7,28.57,FORMAL LITERATE,1
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,TRANSGENDER,7,28.57,INFORMAL LITERATE,1
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,ALL SEXES,86578,58.12,ILLITERATE,36262
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,ALL SEXES,86578,58.12,TOTAL LITERATE,50316
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,ALL SEXES,86578,58.12,FORMAL LITERATE,49967
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,ALL SEXES,86578,58.12,INFORMAL LITERATE,349
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,MALE,44857,67.79,ILLITERATE,14448
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,MALE,44857,67.79,TOTAL LITERATE,30409
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,MALE,44857,67.79,FORMAL LITERATE,30229
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,MALE,44857,67.79,INFORMAL LITERATE,180
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,FEMALE,41710,47.72,ILLITERATE,21807
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,FEMALE,41710,47.72,TOTAL LITERATE,19903
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,FEMALE,41710,47.72,FORMAL LITERATE,19734
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,FEMALE,41710,47.72,INFORMAL LITERATE,169
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,TRANSGENDER,11,36.36,ILLITERATE,7
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,TRANSGENDER,11,36.36,TOTAL LITERATE,4
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,TRANSGENDER,11,36.36,FORMAL LITERATE,4
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,TRANSGENDER,11,36.36,INFORMAL LITERATE,0
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,ALL SEXES,237938,37.22,ILLITERATE,149367
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,ALL SEXES,237938,37.22,TOTAL LITERATE,88571
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,ALL SEXES,237938,37.22,FORMAL LITERATE,87295
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,ALL SEXES,237938,37.22,INFORMAL LITERATE,1276
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,MALE,122665,49.35,ILLITERATE,62135
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,MALE,122665,49.35,TOTAL LITERATE,60530
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,MALE,122665,49.35,FORMAL LITERATE,59885
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,MALE,122665,49.35,INFORMAL LITERATE,645
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,FEMALE,115228,24.33,ILLITERATE,87196
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,FEMALE,115228,24.33,TOTAL LITERATE,28032
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,FEMALE,115228,24.33,FORMAL LITERATE,27401
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,FEMALE,115228,24.33,INFORMAL LITERATE,631
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,TRANSGENDER,45,20,ILLITERATE,36
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,TRANSGENDER,45,20,TOTAL LITERATE,9
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,TRANSGENDER,45,20,FORMAL LITERATE,9
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,TRANSGENDER,45,20,INFORMAL LITERATE,0
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,ALL SEXES,206574,33.84,ILLITERATE,136673
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,ALL SEXES,206574,33.84,TOTAL LITERATE,69901
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,ALL SEXES,206574,33.84,FORMAL LITERATE,68723
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,ALL SEXES,206574,33.84,INFORMAL LITERATE,1178
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,MALE,106382,46.16,ILLITERATE,57279
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,MALE,106382,46.16,TOTAL LITERATE,49103
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,MALE,106382,46.16,FORMAL LITERATE,48500
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,MALE,106382,46.16,INFORMAL LITERATE,603
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,FEMALE,100153,20.76,ILLITERATE,79361
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,FEMALE,100153,20.76,TOTAL LITERATE,20792
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,FEMALE,100153,20.76,FORMAL LITERATE,20217
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,FEMALE,100153,20.76,INFORMAL LITERATE,575
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,TRANSGENDER,39,15.38,ILLITERATE,33
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,TRANSGENDER,39,15.38,TOTAL LITERATE,6
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,TRANSGENDER,39,15.38,FORMAL LITERATE,6
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,TRANSGENDER,39,15.38,INFORMAL LITERATE,0
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,ALL SEXES,31364,59.53,ILLITERATE,12694
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,ALL SEXES,31364,59.53,TOTAL LITERATE,18670
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,ALL SEXES,31364,59.53,FORMAL LITERATE,18572
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,ALL SEXES,31364,59.53,INFORMAL LITERATE,98
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,MALE,16283,70.18,ILLITERATE,4856
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,MALE,16283,70.18,TOTAL LITERATE,11427
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,MALE,16283,70.18,FORMAL LITERATE,11385
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,MALE,16283,70.18,INFORMAL LITERATE,42
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,FEMALE,15075,48.03,ILLITERATE,7835
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,URBAN,FEMALE,15075,48.03,TOTAL LITERATE,7240
