province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,KITCHEN,SEPARATE,53881,46.29,1307
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,KITCHEN,SHARED,35179,30.22,626
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,KITCHEN,NONE,27341,23.49,767
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,BATH,SEPARATE,49989,42.95,1272
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,BATH,SHARED,37501,32.22,638
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,BATH,NONE,28911,24.84,790
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,LATRINE,SEWER,26108,22.43,506
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,LATRINE,SEPTIC TANK,7866,6.76,231
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,LATRINE,OPEN DRAIN,30287,26.02,570
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,LATRINE,PIT WITH SLAB,25969,22.31,610
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,LATRINE,OTHER,5947,5.11,144
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,UNDER CONSTRUCTION,2700,2.32,LATRINE,NONE,20224,17.37,639
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,KITCHEN,SEPARATE,53881,46.29,7659
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,KITCHEN,SHARED,35179,30.22,5260
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,KITCHEN,NONE,27341,23.49,5428
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,BATH,SEPARATE,49989,42.95,7277
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,BATH,SHARED,37501,32.22,5505
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,BATH,NONE,28911,24.84,5565
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,LATRINE,SEWER,26108,22.43,3161
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,LESS THAN 5 YEARS,18347,15.76,LATRINE,SEPTIC TANK,7866,6.76,1010
