province_name,district_code,district_name,area_name,area_type,information_source,count
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,109561
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,RADIO,4873
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,TV,54523
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,NEWSPAPER,6227
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,MOBILE,1486
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,COMPUTER/INTERNET,104606
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,80153
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,RADIO,3640
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,TV,32942
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,NEWSPAPER,4049
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,MOBILE,615
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,RURAL,COMPUTER/INTERNET,76216
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,29408
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,RADIO,1233
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,TV,21581
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,NEWSPAPER,2178
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,MOBILE,871
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,URBAN,COMPUTER/INTERNET,28390
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,37282
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,RADIO,1867
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,TV,23233
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,NEWSPAPER,1932
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,MOBILE,707
SINDH,087,MATIARI DISTRICT,HALA TALUKA,TOTAL,COMPUTER/INTERNET,35696
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,18370
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,RADIO,897
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,TV,8865
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,NEWSPAPER,585
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,MOBILE,129
SINDH,087,MATIARI DISTRICT,HALA TALUKA,RURAL,COMPUTER/INTERNET,17409
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,18912
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,RADIO,970
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,TV,14368
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,NEWSPAPER,1347
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,MOBILE,578
SINDH,087,MATIARI DISTRICT,HALA TALUKA,URBAN,COMPUTER/INTERNET,18287
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,47778
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,RADIO,1998
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,TV,21357
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,NEWSPAPER,2788
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,MOBILE,583
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,TOTAL,COMPUTER/INTERNET,45334
SINDH,087,MATIARI DISTRICT,MATIARI TALUKA,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,40690
