province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,ALL SEXES,677098,100,REGULAR,130966,99.25,671406
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,ALL SEXES,677098,100,INSTITUTIONAL,917,0.69,5431
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,ALL SEXES,677098,100,HOMELESS,68,0.05,261
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,ALL SEXES,677098,100,TOTAL,131951,100,677098
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,MALE,349122,51.56,REGULAR,130966,99.25,346088
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,MALE,349122,51.56,INSTITUTIONAL,917,0.69,2873
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,MALE,349122,51.56,HOMELESS,68,0.05,161
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,MALE,349122,51.56,TOTAL,131951,100,349122
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,FEMALE,327888,48.43,REGULAR,130966,99.25,325232
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,FEMALE,327888,48.43,INSTITUTIONAL,917,0.69,2557
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,FEMALE,327888,48.43,HOMELESS,68,0.05,99
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,FEMALE,327888,48.43,TOTAL,131951,100,327888
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,TRANSGENDER,88,0.01,REGULAR,130966,99.25,86
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,TRANSGENDER,88,0.01,INSTITUTIONAL,917,0.69,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,TRANSGENDER,88,0.01,HOMELESS,68,0.05,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,TOTAL,TRANSGENDER,88,0.01,TOTAL,131951,100,88
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,ALL SEXES,535061,100,REGULAR,103657,99.45,531587
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,ALL SEXES,535061,100,INSTITUTIONAL,523,0.5,3230
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,ALL SEXES,535061,100,HOMELESS,54,0.05,244
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,ALL SEXES,535061,100,TOTAL,104234,100,535061
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,MALE,275634,51.51,REGULAR,103657,99.45,273790
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,MALE,275634,51.51,INSTITUTIONAL,523,0.5,1694
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,MALE,275634,51.51,HOMELESS,54,0.05,150
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,MALE,275634,51.51,TOTAL,104234,100,275634
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,FEMALE,259357,48.47,REGULAR,103657,99.45,257728
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,FEMALE,259357,48.47,INSTITUTIONAL,523,0.5,1535
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,FEMALE,259357,48.47,HOMELESS,54,0.05,94
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,FEMALE,259357,48.47,TOTAL,104234,100,259357
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,TRANSGENDER,70,0.01,REGULAR,103657,99.45,69
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,TRANSGENDER,70,0.01,INSTITUTIONAL,523,0.5,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,TRANSGENDER,70,0.01,HOMELESS,54,0.05,0
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,TRANSGENDER,70,0.01,TOTAL,104234,100,70
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,ALL SEXES,142037,100,REGULAR,27309,98.53,139819
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,ALL SEXES,142037,100,INSTITUTIONAL,394,1.42,2201
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,ALL SEXES,142037,100,HOMELESS,14,0.05,17
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,ALL SEXES,142037,100,TOTAL,27717,100,142037
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,MALE,73488,51.74,REGULAR,27309,98.53,72298
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,MALE,73488,51.74,INSTITUTIONAL,394,1.42,1179
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,MALE,73488,51.74,HOMELESS,14,0.05,11
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,MALE,73488,51.74,TOTAL,27717,100,73488
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,FEMALE,68531,48.25,REGULAR,27309,98.53,67504
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,FEMALE,68531,48.25,INSTITUTIONAL,394,1.42,1022
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,FEMALE,68531,48.25,HOMELESS,14,0.05,5
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,FEMALE,68531,48.25,TOTAL,27717,100,68531
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,TRANSGENDER,18,0.01,REGULAR,27309,98.53,17
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,TRANSGENDER,18,0.01,INSTITUTIONAL,394,1.42,0
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,TRANSGENDER,18,0.01,HOMELESS,14,0.05,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,TRANSGENDER,18,0.01,TOTAL,27717,100,18
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,ALL SEXES,237011,100,REGULAR,45989,99.38,235430
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,ALL SEXES,237011,100,INSTITUTIONAL,238,0.51,1340
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,ALL SEXES,237011,100,HOMELESS,51,0.11,241
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,ALL SEXES,237011,100,TOTAL,46278,100,237011
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,MALE,122078,51.51,REGULAR,45989,99.38,121203
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,MALE,122078,51.51,INSTITUTIONAL,238,0.51,727
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,MALE,122078,51.51,HOMELESS,51,0.11,148
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,MALE,122078,51.51,TOTAL,46278,100,122078
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,FEMALE,114909,48.48,REGULAR,45989,99.38,114204
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,FEMALE,114909,48.48,INSTITUTIONAL,238,0.51,612
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,FEMALE,114909,48.48,HOMELESS,51,0.11,93
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,FEMALE,114909,48.48,TOTAL,46278,100,114909
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,TRANSGENDER,24,0.01,REGULAR,45989,99.38,23
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,TRANSGENDER,24,0.01,INSTITUTIONAL,238,0.51,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,TRANSGENDER,24,0.01,HOMELESS,51,0.11,0
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,TOTAL,TRANSGENDER,24,0.01,TOTAL,46278,100,24
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,ALL SEXES,230630,100,REGULAR,44775,99.36,229052
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,ALL SEXES,230630,100,INSTITUTIONAL,237,0.53,1338
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,ALL SEXES,230630,100,HOMELESS,50,0.11,240
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,ALL SEXES,230630,100,TOTAL,45062,100,230630
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,MALE,118786,51.51,REGULAR,44775,99.36,117913
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,MALE,118786,51.51,INSTITUTIONAL,237,0.53,726
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,MALE,118786,51.51,HOMELESS,50,0.11,147
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,MALE,118786,51.51,TOTAL,45062,100,118786
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,FEMALE,111822,48.49,REGULAR,44775,99.36,111118
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,FEMALE,111822,48.49,INSTITUTIONAL,237,0.53,611
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,FEMALE,111822,48.49,HOMELESS,50,0.11,93
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,FEMALE,111822,48.49,TOTAL,45062,100,111822
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,TRANSGENDER,22,0.01,REGULAR,44775,99.36,21
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,TRANSGENDER,22,0.01,INSTITUTIONAL,237,0.53,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,TRANSGENDER,22,0.01,HOMELESS,50,0.11,0
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,RURAL,TRANSGENDER,22,0.01,TOTAL,45062,100,22
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,ALL SEXES,6381,100,REGULAR,1214,99.84,6378
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,ALL SEXES,6381,100,INSTITUTIONAL,1,0.08,2
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,ALL SEXES,6381,100,HOMELESS,1,0.08,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,ALL SEXES,6381,100,TOTAL,1216,100,6381
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,MALE,3292,51.59,REGULAR,1214,99.84,3290
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,MALE,3292,51.59,INSTITUTIONAL,1,0.08,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,MALE,3292,51.59,HOMELESS,1,0.08,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,MALE,3292,51.59,TOTAL,1216,100,3292
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,FEMALE,3087,48.38,REGULAR,1214,99.84,3086
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,FEMALE,3087,48.38,INSTITUTIONAL,1,0.08,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,URBAN,FEMALE,3087,48.38,HOMELESS,1,0.08,0
