province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,ALL AGES,982138
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,ALL AGES,980796
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,ALL AGES,1342
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,ALL AGES,805662
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,ALL AGES,805208
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,ALL AGES,454
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,ALL AGES,176476
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,ALL AGES,175588
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,ALL AGES,888
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,00 - 04,148104
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,00 - 04,147834
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,00 - 04,270
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,00 - 04,123378
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,00 - 04,123268
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,00 - 04,110
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,00 - 04,24726
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,00 - 04,24566
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,00 - 04,160
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,05 - 09,157035
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,05 - 09,156766
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,05 - 09,269
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,05 - 09,131000
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,05 - 09,130901
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,05 - 09,99
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,05 - 09,26035
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,05 - 09,25865
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,05 - 09,170
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,10 - 14,115122
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,10 - 14,114931
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,10 - 14,191
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,10 - 14,95073
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,10 - 14,94995
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,10 - 14,78
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,10 - 14,20049
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,10 - 14,19936
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,10 - 14,113
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,15 - 19,94567
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,15 - 19,94407
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,15 - 19,160
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,15 - 19,76322
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,15 - 19,76277
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,15 - 19,45
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,15 - 19,18245
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,15 - 19,18130
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,15 - 19,115
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,20 - 24,78773
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,20 - 24,78692
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,20 - 24,81
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,20 - 24,63551
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,20 - 24,63522
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,20 - 24,29
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,20 - 24,15222
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,20 - 24,15170
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,20 - 24,52
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,25 - 29,76438
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,25 - 29,76366
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,25 - 29,72
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,25 - 29,61987
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,25 - 29,61969
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,25 - 29,18
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,25 - 29,14451
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,25 - 29,14397
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,25 - 29,54
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,30 - 34,67487
