province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,UNDER CONSTRUCTION,1,5424,3.25,138658,83.2,4189
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,LESS THAN 5 YEARS,1,40219,24.13,138658,83.2,34207
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,5-10 YEARS,1,62106,37.26,138658,83.2,52470
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,11-50 YEARS,1,53079,31.85,138658,83.2,43099
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,OVER 50 YEARS,1,5834,3.5,138658,83.2,4693
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,UNDER CONSTRUCTION,2,5424,3.25,17660,10.6,710
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,LESS THAN 5 YEARS,2,40219,24.13,17660,10.6,3809
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,5-10 YEARS,2,62106,37.26,17660,10.6,6111
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,11-50 YEARS,2,53079,31.85,17660,10.6,6354
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,OVER 50 YEARS,2,5834,3.5,17660,10.6,676
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,UNDER CONSTRUCTION,3,5424,3.25,5300,3.18,227
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,LESS THAN 5 YEARS,3,40219,24.13,5300,3.18,1161
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,5-10 YEARS,3,62106,37.26,5300,3.18,1766
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,11-50 YEARS,3,53079,31.85,5300,3.18,1909
