province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,-,ALL SEXES,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,-,MALE,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,-,FEMALE,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,-,TRANSGENDER,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"5,000 AND ABOVE",-,ALL SEXES,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"5,000 AND ABOVE",-,MALE,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"5,000 AND ABOVE",-,FEMALE,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"5,000 AND ABOVE",-,TRANSGENDER,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"2,000 - 4,999",-,ALL SEXES,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"2,000 - 4,999",-,MALE,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"2,000 - 4,999",-,FEMALE,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"2,000 - 4,999",-,TRANSGENDER,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"1,000 - 1,999",-,ALL SEXES,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"1,000 - 1,999",-,MALE,0
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,"1,000 - 1,999",-,FEMALE,0
