province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,KITCHEN,SEPARATE,416703,78.01,242726
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,KITCHEN,SHARED,109039,20.41,66229
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,KITCHEN,NONE,8450,1.58,2496
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,BATH,SEPARATE,432377,80.94,252478
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,BATH,SHARED,97956,18.34,57029
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,BATH,NONE,3859,0.72,1944
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,LATRINE,SEWER,516227,96.64,301205
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,LATRINE,SEPTIC TANK,5330,1,3180
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,LATRINE,OPEN DRAIN,3735,0.7,2145
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,LATRINE,PIT WITH SLAB,5792,1.08,3307
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,LATRINE,OTHER,2284,0.43,1299
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,OWNED,311451,58.3,LATRINE,NONE,824,0.15,315
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,RENTED,189760,35.52,KITCHEN,SEPARATE,416703,78.01,149214
SINDH,092,KARACHI CENTRAL DISTRICT,KARACHI CENTRAL DISTRICT,TOTAL,RENTED,189760,35.52,KITCHEN,SHARED,109039,20.41,36166
