province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,INSIDE WATER,TAP,85212,47.53,2194
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,INSIDE WATER,ELECTRIC/HAND PUMP,65501,36.54,687
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,INSIDE WATER,PROTECTED WELL,824,0.46,10
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,INSIDE WATER,UN-PROTECTED WELL,461,0.26,16
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,INSIDE WATER,OTHERS,11493,6.41,117
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,OUTSIDE WATER,TAP,2400,1.34,30
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,OUTSIDE WATER,ELECTRIC/HAND PUMP,2185,1.22,15
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,OUTSIDE WATER,PROTECTED WELL,179,0.1,1
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,OUTSIDE WATER,UN-PROTECTED WELL,20,0.01,2
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,OUTSIDE WATER,SPRING,95,0.05,0
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,OUTSIDE WATER,CANAL/RIVER/POND,4,0,0
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,OUTSIDE WATER,OTHERS,10888,6.07,151
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,COOKING FUEL,WOOD,5802,3.24,220
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,COOKING FUEL,GAS,172116,96.01,2982
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,COOKING FUEL,KEROSENE OIL,356,0.2,4
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,COOKING FUEL,OTHERS,988,0.55,17
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,LIGHTING SOURCE,ELECTRICITY,178111,99.36,3185
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,LIGHTING SOURCE,KEROSENE OIL,718,0.4,25
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,LIGHTING SOURCE,GAS LAMP,50,0.03,0
SINDH,094,KARACHI SOUTH DISTRICT,KARACHI SOUTH DISTRICT,TOTAL,UNDER CONSTRUCTION,3223,1.8,LIGHTING SOURCE,OTHERS,383,0.21,13
