province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,ALL AGES,3907065
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,ALL AGES,3876954
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,ALL AGES,30111
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,ALL AGES,282858
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,ALL AGES,281616
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,ALL AGES,1242
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,TOTAL,ALL AGES,3624207
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,PAKISTANI,ALL AGES,3595338
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,ALL AGES,28869
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,00 - 04,503331
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,00 - 04,497063
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,00 - 04,6268
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,00 - 04,40993
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,00 - 04,40763
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,00 - 04,230
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,TOTAL,00 - 04,462338
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,PAKISTANI,00 - 04,456300
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,00 - 04,6038
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,05 - 09,507257
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,05 - 09,501249
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,05 - 09,6008
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,05 - 09,42458
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,05 - 09,42228
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,05 - 09,230
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,TOTAL,05 - 09,464799
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,PAKISTANI,05 - 09,459021
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,05 - 09,5778
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,10 - 14,436212
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,10 - 14,431335
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,10 - 14,4877
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,10 - 14,33856
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,10 - 14,33651
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,10 - 14,205
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,TOTAL,10 - 14,402356
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,PAKISTANI,10 - 14,397684
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,10 - 14,4672
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,15 - 19,418528
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,15 - 19,414562
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,15 - 19,3966
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,15 - 19,30186
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,15 - 19,30044
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,15 - 19,142
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,TOTAL,15 - 19,388342
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,PAKISTANI,15 - 19,384518
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,15 - 19,3824
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,20 - 24,384449
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,20 - 24,382222
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,20 - 24,2227
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,20 - 24,26288
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,20 - 24,26180
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,20 - 24,108
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,TOTAL,20 - 24,358161
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,PAKISTANI,20 - 24,356042
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,20 - 24,2119
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,25 - 29,344860
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,25 - 29,343333
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,25 - 29,1527
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,25 - 29,23550
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,25 - 29,23471
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,25 - 29,79
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,TOTAL,25 - 29,321310
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,PAKISTANI,25 - 29,319862
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,25 - 29,1448
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,TOTAL,30 - 34,302002
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,PAKISTANI,30 - 34,300830
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,30 - 34,1172
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,TOTAL,30 - 34,20009
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,PAKISTANI,30 - 34,19960
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,30 - 34,49
