province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,religious_affiliation,count
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,ALL AGES,1159,MUSLIM,1129
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,11,MUSLIM,11
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,05-09,9,MUSLIM,9
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,10-14,18,MUSLIM,18
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,15-24,215,MUSLIM,211
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,25-34,375,MUSLIM,365
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,35-44,259,MUSLIM,252
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,45-54,138,MUSLIM,134
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,55-64,82,MUSLIM,80
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,65-74,31,MUSLIM,29
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,21,MUSLIM,20
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,ALL AGES,1159,NON-MUSLIM,30
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,11,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,05-09,9,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,10-14,18,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,15-24,215,NON-MUSLIM,4
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,25-34,375,NON-MUSLIM,10
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,35-44,259,NON-MUSLIM,7
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,45-54,138,NON-MUSLIM,4
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,55-64,82,NON-MUSLIM,2
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,65-74,31,NON-MUSLIM,2
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,21,NON-MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,ALL AGES,1092,MUSLIM,1064
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,BELOW 5 YEARS,7,MUSLIM,7
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,05-09,6,MUSLIM,6
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,10-14,15,MUSLIM,15
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,15-24,205,MUSLIM,201
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,25-34,360,MUSLIM,350
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,35-44,250,MUSLIM,244
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,45-54,131,MUSLIM,127
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,55-64,75,MUSLIM,73
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,65-74,27,MUSLIM,26
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,75 AND ABOVE,16,MUSLIM,15
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,ALL AGES,1092,NON-MUSLIM,28
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,BELOW 5 YEARS,7,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,05-09,6,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,10-14,15,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,15-24,205,NON-MUSLIM,4
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,25-34,360,NON-MUSLIM,10
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,35-44,250,NON-MUSLIM,6
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,45-54,131,NON-MUSLIM,4
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,55-64,75,NON-MUSLIM,2
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,65-74,27,NON-MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MALE,75 AND ABOVE,16,NON-MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,ALL AGES,64,MUSLIM,62
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,BELOW 5 YEARS,4,MUSLIM,4
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,05-09,3,MUSLIM,3
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,10-14,3,MUSLIM,3
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,15-24,10,MUSLIM,10
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,25-34,14,MUSLIM,14
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,35-44,8,MUSLIM,7
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,45-54,6,MUSLIM,6
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,55-64,7,MUSLIM,7
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,65-74,4,MUSLIM,3
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,75 AND ABOVE,5,MUSLIM,5
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,ALL AGES,64,NON-MUSLIM,2
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,BELOW 5 YEARS,4,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,05-09,3,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,10-14,3,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,15-24,10,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,25-34,14,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,35-44,8,NON-MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,45-54,6,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,55-64,7,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,65-74,4,NON-MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,FEMALE,75 AND ABOVE,5,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,ALL AGES,3,MUSLIM,3
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,BELOW 5 YEARS,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,05-09,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,10-14,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,15-24,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,25-34,1,MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,35-44,1,MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,45-54,1,MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,55-64,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,65-74,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,75 AND ABOVE,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,ALL AGES,3,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,BELOW 5 YEARS,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,05-09,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,10-14,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,15-24,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,25-34,1,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,35-44,1,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,45-54,1,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,55-64,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,65-74,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TRANSGENDER,75 AND ABOVE,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,ALL AGES,36,MUSLIM,36
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,BELOW 5 YEARS,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,05-09,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,10-14,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,15-24,6,MUSLIM,6
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,25-34,13,MUSLIM,13
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,35-44,6,MUSLIM,6
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,45-54,3,MUSLIM,3
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,55-64,5,MUSLIM,5
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,65-74,2,MUSLIM,2
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,75 AND ABOVE,1,MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,ALL AGES,36,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,BELOW 5 YEARS,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,05-09,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,10-14,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,15-24,6,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,25-34,13,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,35-44,6,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,45-54,3,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,55-64,5,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,65-74,2,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,ALL SEXES,75 AND ABOVE,1,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,ALL AGES,34,MUSLIM,34
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,BELOW 5 YEARS,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,05-09,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,10-14,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,15-24,6,MUSLIM,6
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,25-34,13,MUSLIM,13
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,35-44,5,MUSLIM,5
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,45-54,3,MUSLIM,3
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,55-64,4,MUSLIM,4
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,65-74,2,MUSLIM,2
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,75 AND ABOVE,1,MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,ALL AGES,34,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,BELOW 5 YEARS,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,05-09,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,10-14,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,15-24,6,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,25-34,13,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,35-44,5,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,45-54,3,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,55-64,4,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,65-74,2,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MALE,75 AND ABOVE,1,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,ALL AGES,2,MUSLIM,2
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,BELOW 5 YEARS,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,05-09,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,10-14,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,15-24,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,25-34,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,35-44,1,MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,45-54,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,55-64,1,MUSLIM,1
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,65-74,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,75 AND ABOVE,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,ALL AGES,2,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,BELOW 5 YEARS,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,05-09,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,10-14,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,15-24,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,25-34,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,35-44,1,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,45-54,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,55-64,1,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,65-74,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,FEMALE,75 AND ABOVE,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,ALL AGES,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,BELOW 5 YEARS,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,05-09,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,10-14,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,15-24,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,25-34,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,35-44,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,45-54,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,55-64,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,65-74,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,75 AND ABOVE,0,MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,ALL AGES,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,BELOW 5 YEARS,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,05-09,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,10-14,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,15-24,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,25-34,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,35-44,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,45-54,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,55-64,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,65-74,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TRANSGENDER,75 AND ABOVE,0,NON-MUSLIM,0
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,ALL AGES,1123,MUSLIM,1093
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,BELOW 5 YEARS,11,MUSLIM,11
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,05-09,9,MUSLIM,9
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,ALL SEXES,10-14,18,MUSLIM,18
