province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
SINDH,095,KARACHI WEST DISTRICT,NA,NA,NA,YES,KARACHI WEST DISTRICT,3624207,1907416,1716441,350,66.92,70.84,62.49,32.57,455393,346502,50,344414,274527,33,57637,44982,0,3551552,72655,2697070,2059324,173362,869459,1530523
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,NA,NA,YES,BALDIA SUB-DIVISION,832583,434973,397480,130,64.58,70.14,58.45,23.85,104109,79654,13,74569,54188,9,10349,7413,0,816297,16286,611553,460758,39606,204585,341161
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),NA,YES,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),832583,434973,397480,130,64.58,70.14,58.45,23.85,104109,79654,13,74569,54188,9,10349,7413,0,816297,16286,611553,460758,39606,204585,341161
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),CHARGE NO 01,YES,CHARGE NO 01,63193,33787,29395,11,63.12,71.62,53.09,45.45,8792,5655,3,5341,2914,0,377,211,0,63048,145,45435,33903,2644,15897,25735
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),CHARGE NO 01,NO,CIRCLE NO 01,14598,7620,6975,3,67.95,76.76,58.19,33.33,2120,1401,1,1265,761,0,89,42,0,14501,97,10537,7756,625,2978,5728
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),CHARGE NO 01,NO,CIRCLE NO 02,7015,3661,3350,4,71.49,79.52,62.72,25,1004,777,1,780,509,0,81,56,0,6999,16,5135,3928,359,1964,3054
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),CHARGE NO 01,NO,CIRCLE NO 03,13784,7344,6437,3,62.08,70.19,52.61,66.67,1947,1320,1,1187,628,0,83,47,0,13776,8,9795,7292,610,3264,5506
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),CHARGE NO 01,NO,CIRCLE NO 04,18602,10275,8326,1,57.45,65.21,47.36,100,2510,1406,0,1388,708,0,76,50,0,18579,23,13323,10083,693,5658,7738
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),CHARGE NO 01,NO,CIRCLE NO 05,9194,4887,4307,0,61.9,73.3,48.63,0,1211,751,0,721,308,0,48,16,0,9193,1,6645,4844,357,2033,3709
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST (PART OF BALDIA SUB-DIVISION),CHARGE NO 02,YES,CHARGE NO 02,69209,35989,33205,15,51.4,59.96,42,26.67,7760,4960,2,3892,2137,2,257,155,0,68837,372,48601,35182,2835,15685,24466
