province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,KITCHEN,SEPARATE,272151,70.11,7197
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,KITCHEN,SHARED,111241,28.66,2333
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,KITCHEN,NONE,4784,1.23,202
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,BATH,SEPARATE,274399,70.69,7214
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,BATH,SHARED,108961,28.07,2315
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,BATH,NONE,4816,1.24,203
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,LATRINE,SEWER,330570,85.16,8095
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,LATRINE,SEPTIC TANK,12495,3.22,568
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,LATRINE,OPEN DRAIN,10077,2.6,302
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,LATRINE,PIT WITH SLAB,26869,6.92,589
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,LATRINE,OTHER,5673,1.46,118
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,UNDER CONSTRUCTION,9732,2.51,LATRINE,NONE,2492,0.64,60
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,LESS THAN 5 YEARS,52097,13.42,KITCHEN,SEPARATE,272151,70.11,35824
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,LESS THAN 5 YEARS,52097,13.42,KITCHEN,SHARED,111241,28.66,15290
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,LESS THAN 5 YEARS,52097,13.42,KITCHEN,NONE,4784,1.23,983
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,LESS THAN 5 YEARS,52097,13.42,BATH,SEPARATE,274399,70.69,35981
