province_name,district_code,district_name,area_name,area_type,information_source,count
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,612623
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,RADIO,35205
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,TV,438060
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,NEWSPAPER,35863
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,MOBILE,14256
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,COMPUTER/INTERNET,602835
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,40900
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,RADIO,1819
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,TV,21658
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,NEWSPAPER,1862
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,MOBILE,531
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,RURAL,COMPUTER/INTERNET,40228
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,571723
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,RADIO,33386
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,TV,416402
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,NEWSPAPER,34001
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,MOBILE,13725
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,URBAN,COMPUTER/INTERNET,562607
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,126538
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,TOTAL,RADIO,11905
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,TOTAL,TV,91143
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,TOTAL,NEWSPAPER,6589
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,TOTAL,MOBILE,2234
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,TOTAL,COMPUTER/INTERNET,124734
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,RURAL,RADIO,0
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,RURAL,TV,0
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,RURAL,NEWSPAPER,0
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,RURAL,MOBILE,0
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,RURAL,COMPUTER/INTERNET,0
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,126538
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,URBAN,RADIO,11905
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,URBAN,TV,91143
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,URBAN,NEWSPAPER,6589
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,URBAN,MOBILE,2234
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,URBAN,COMPUTER/INTERNET,124734
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,63982
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,TOTAL,RADIO,1616
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,TOTAL,TV,38300
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,TOTAL,NEWSPAPER,3753
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,TOTAL,MOBILE,1911
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,TOTAL,COMPUTER/INTERNET,62961
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,RURAL,RADIO,0
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,RURAL,TV,0
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,RURAL,NEWSPAPER,0
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,RURAL,MOBILE,0
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,RURAL,COMPUTER/INTERNET,0
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,63982
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,URBAN,RADIO,1616
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,URBAN,TV,38300
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,URBAN,NEWSPAPER,3753
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,URBAN,MOBILE,1911
SINDH,095,KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,URBAN,COMPUTER/INTERNET,62961
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,109775
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,TOTAL,RADIO,3319
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,TOTAL,TV,76216
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,TOTAL,NEWSPAPER,4673
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,TOTAL,MOBILE,3058
