province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 AND ABOVE,1580387
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 AND ABOVE,1291802
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 AND ABOVE,288585
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 AND ABOVE,833610
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 AND ABOVE,754296
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 AND ABOVE,79314
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,18 AND ABOVE,746296
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,18 AND ABOVE,537177
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,18 AND ABOVE,209119
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,18 AND ABOVE,481
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,18 AND ABOVE,329
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,18 AND ABOVE,152
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 - 19,102565
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 - 19,38409
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 - 19,64156
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 - 19,53589
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 - 19,25658
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 - 19,27931
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,18 - 19,48958
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,18 - 19,12741
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,18 - 19,36217
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,18 - 19,18
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,18 - 19,10
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,18 - 19,8
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,20 - 24,258942
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,20 - 24,168602
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,20 - 24,90340
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,TOTAL POPULATION,20 - 24,134140
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,CNIC OBTAINED,20 - 24,109687
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,20 - 24,24453
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,20 - 24,124735
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,20 - 24,58882
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,20 - 24,65853
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,20 - 24,67
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,20 - 24,33
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,20 - 24,34
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,25 - 29,239040
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,25 - 29,186729
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,25 - 29,52311
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,TOTAL POPULATION,25 - 29,122669
SINDH,096,KORANGI DISTRICT,KORANGI DISTRICT,TOTAL,MALE,CNIC OBTAINED,25 - 29,113305
