province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,2160,1924346,1028865,895329,152,114.91,890.9,55.43,5.87,950798,3.77
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,NA,857634,455607,401967,60,113.34,NA,NA,5.7,337360,5.02
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,NA,1066712,573258,493362,92,116.19,NA,NA,6.03,613438,2.95
SINDH,097,MALIR DISTRICT,AIRPORT SUB-DIVISION,TOTAL,41,195143,104861,90264,18,116.17,4759.59,100,5.84,88027,4.27
SINDH,097,MALIR DISTRICT,AIRPORT SUB-DIVISION,RURAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SINDH,097,MALIR DISTRICT,AIRPORT SUB-DIVISION,URBAN,NA,195143,104861,90264,18,116.17,NA,NA,5.84,88027,4.27
SINDH,097,MALIR DISTRICT,BIN QASIM SUB-DIVISION,TOTAL,447,248098,132391,115668,39,114.46,555.03,NA,5.92,108045,4.46
SINDH,097,MALIR DISTRICT,BIN QASIM SUB-DIVISION,RURAL,NA,248098,132391,115668,39,114.46,NA,NA,5.92,108045,4.46
SINDH,097,MALIR DISTRICT,BIN QASIM SUB-DIVISION,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SINDH,097,MALIR DISTRICT,GADAP SUB-DIVISION,TOTAL,1104,64153,34756,29396,1,118.23,58.11,NA,4.58,39642,2.56
SINDH,097,MALIR DISTRICT,GADAP SUB-DIVISION,RURAL,NA,64153,34756,29396,1,118.23,NA,NA,4.58,39642,2.56
SINDH,097,MALIR DISTRICT,GADAP SUB-DIVISION,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SINDH,097,MALIR DISTRICT,IBRAHIM HYDRI SUB-DIVISION,TOTAL,97,1055780,567005,488697,78,116.02,10884.33,63.46,6.32,483770,4.19
SINDH,097,MALIR DISTRICT,IBRAHIM HYDRI SUB-DIVISION,RURAL,NA,385776,203681,182077,18,111.87,NA,NA,6.18,105192,7.07
SINDH,097,MALIR DISTRICT,IBRAHIM HYDRI SUB-DIVISION,URBAN,NA,670004,363324,306620,60,118.49,NA,NA,6.4,378578,3.04
SINDH,097,MALIR DISTRICT,MURAD MEMON SUB-DIVISION,TOTAL,195,331326,174153,157157,16,110.81,1699.11,60.84,5.14,214900,2.3
SINDH,097,MALIR DISTRICT,MURAD MEMON SUB-DIVISION,RURAL,NA,129761,69080,60679,2,113.84,NA,NA,5.05,68067,3.45
SINDH,097,MALIR DISTRICT,MURAD MEMON SUB-DIVISION,URBAN,NA,201565,105073,96478,14,108.91,NA,NA,5.2,146833,1.68
SINDH,097,MALIR DISTRICT,SHAH MUREED SUB-DIVISION,TOTAL,276,29846,15699,14147,NA,110.97,108.14,NA,4.49,16414,3.19
SINDH,097,MALIR DISTRICT,SHAH MUREED SUB-DIVISION,RURAL,NA,29846,15699,14147,NA,110.97,NA,NA,4.49,16414,3.19
SINDH,097,MALIR DISTRICT,SHAH MUREED SUB-DIVISION,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
