province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,HEAD,ALL SEXES,317500
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,HEAD,MALE,291030
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,HEAD,FEMALE,26415
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,HEAD,TRANSGENDER,55
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SPOUSE,ALL SEXES,273640
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SPOUSE,MALE,6891
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SPOUSE,FEMALE,266749
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,341579
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,MALE,217461
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,124113
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,5
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,52284
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,2938
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,49346
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,TRANSGENDER,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,ALL SEXES,8313
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,MALE,4628
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,FEMALE,3685
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,TRANSGENDER,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,ALL SEXES,32270
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,MALE,7586
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,FEMALE,24684
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,TRANSGENDER,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,ALL SEXES,64699
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,MALE,45474
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,FEMALE,19215
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,TRANSGENDER,10
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,ALL SEXES,58280
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,MALE,28566
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,FEMALE,29662
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,TRANSGENDER,52
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,ALL SEXES,63110
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,MALE,54633
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,FEMALE,8447
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TOTAL,NON-RELATIVE,TRANSGENDER,30
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,HEAD,ALL SEXES,13856
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,HEAD,MALE,13074
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,HEAD,FEMALE,727
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,HEAD,TRANSGENDER,55
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,ALL SEXES,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,MALE,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,FEMALE,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,TRANSGENDER,NA
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,ALL SEXES,282425
