province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,1924346,100,REGULAR,317318,98.51,1863755
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,1924346,100,INSTITUTIONAL,4697,1.46,60306
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,1924346,100,HOMELESS,112,0.03,285
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,1924346,100,TOTAL,322127,100,1924346
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,1028865,53.47,REGULAR,317318,98.51,979649
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,1028865,53.47,INSTITUTIONAL,4697,1.46,49002
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,1028865,53.47,HOMELESS,112,0.03,214
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,1028865,53.47,TOTAL,322127,100,1028865
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,FEMALE,895329,46.53,REGULAR,317318,98.51,883963
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,FEMALE,895329,46.53,INSTITUTIONAL,4697,1.46,11295
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,FEMALE,895329,46.53,HOMELESS,112,0.03,71
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,FEMALE,895329,46.53,TOTAL,322127,100,895329
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TRANSGENDER,152,0.01,REGULAR,317318,98.51,143
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TRANSGENDER,152,0.01,INSTITUTIONAL,4697,1.46,9
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TRANSGENDER,152,0.01,HOMELESS,112,0.03,0
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,TRANSGENDER,152,0.01,TOTAL,322127,100,152
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,ALL SEXES,857634,100,REGULAR,147005,98.78,837268
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,ALL SEXES,857634,100,INSTITUTIONAL,1770,1.19,20294
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,ALL SEXES,857634,100,HOMELESS,40,0.03,72
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,ALL SEXES,857634,100,TOTAL,148815,100,857634
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,MALE,455607,53.12,REGULAR,147005,98.78,440000
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,MALE,455607,53.12,INSTITUTIONAL,1770,1.19,15548
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,MALE,455607,53.12,HOMELESS,40,0.03,59
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,MALE,455607,53.12,TOTAL,148815,100,455607
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,FEMALE,401967,46.87,REGULAR,147005,98.78,397208
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,FEMALE,401967,46.87,INSTITUTIONAL,1770,1.19,4746
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,FEMALE,401967,46.87,HOMELESS,40,0.03,13
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,FEMALE,401967,46.87,TOTAL,148815,100,401967
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,TRANSGENDER,60,0.01,REGULAR,147005,98.78,60
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,TRANSGENDER,60,0.01,INSTITUTIONAL,1770,1.19,0
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,TRANSGENDER,60,0.01,HOMELESS,40,0.03,0
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,RURAL,TRANSGENDER,60,0.01,TOTAL,148815,100,60
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,ALL SEXES,1066712,100,REGULAR,170313,98.27,1026487
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,ALL SEXES,1066712,100,INSTITUTIONAL,2927,1.69,40012
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,ALL SEXES,1066712,100,HOMELESS,72,0.04,213
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,ALL SEXES,1066712,100,TOTAL,173312,100,1066712
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,MALE,573258,53.74,REGULAR,170313,98.27,539649
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,MALE,573258,53.74,INSTITUTIONAL,2927,1.69,33454
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,MALE,573258,53.74,HOMELESS,72,0.04,155
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,MALE,573258,53.74,TOTAL,173312,100,573258
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,FEMALE,493362,46.25,REGULAR,170313,98.27,486755
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,FEMALE,493362,46.25,INSTITUTIONAL,2927,1.69,6549
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,FEMALE,493362,46.25,HOMELESS,72,0.04,58
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,FEMALE,493362,46.25,TOTAL,173312,100,493362
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,URBAN,TRANSGENDER,92,0.01,REGULAR,170313,98.27,83
