province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
SINDH,098,MIRPUR KHAS DISTRICT,NA,NA,NA,YES,MIRPUR KHAS DISTRICT,NA,1070359,552828,517368,163,30.61,42.88,17.53,12.88,72781,30892,11,42158,12703,3,8340,2148,3,557927,512432,711241,518692,49589,243951,372099,835339
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,NA,NA,YES,DIGRI TALUKA,NA,140304,72370,67918,16,31,42.77,18.49,0,9567,4304,0,6007,2261,0,1349,393,0,74864,65440,94282,69560,6955,33814,50764,126439
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,NA,YES,DIGRI STC,NA,57405,29828,27576,1,30.12,42.15,17.17,0,4041,1651,0,2329,816,0,517,158,0,25601,31804,38446,28466,2658,13339,20816,48746
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,ABRING TC,YES,ABRING TC,NA,16620,8618,8002,0,26.4,38.59,13.34,0,1155,403,0,536,146,0,149,38,0,7860,8760,11065,8151,770,4111,6051,13776
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,ABRING TC,NO,DEH 175,0000000,2775,1417,1358,0,23.79,33.52,13.97,0,109,66,0,66,19,0,30,1,0,1113,1662,1799,1314,133,595,1063,2257
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,ABRING TC,NO,DEH 181,0000000,3939,2024,1915,0,30.97,43.48,17.8,0,352,161,0,182,48,0,37,11,0,1615,2324,2709,2014,196,955,1446,2195
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,ABRING TC,NO,DEH 182,0000000,2912,1509,1403,0,26.04,39.22,10.89,0,220,55,0,98,21,0,22,3,0,871,2041,1916,1357,110,698,975,1807
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,ABRING TC,NO,DEH 183,0000000,927,496,431,0,43.21,53.55,31.68,0,69,33,0,60,44,0,37,16,0,519,408,641,476,37,258,334,1135
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,ABRING TC,NO,DEH 184,0000000,1832,956,876,0,18.34,30.27,5.29,0,105,17,0,43,1,0,3,0,0,1094,738,1227,927,75,556,655,2147
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,DIGRI STC,ABRING TC,NO,DEH 185,0000000,3077,1619,1458,0,21.64,32.73,10.05,0,221,61,0,53,10,0,12,3,0,1994,1083,2056,1557,170,818,1145,1999
