province_name,district_code,district_name,area_name,area_type,total_population,household_size,count
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,TOTAL,284647
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,01,7016
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,02,36358
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,03,37242
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,04,40871
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,05,42923
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,06,39637
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,07,30263
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,08,20724
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,09,12767
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,1494855,10 AND UP,16846
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,TOTAL,206721
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,01,5119
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,02,28679
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,03,27834
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,04,29082
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,05,30235
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,06,28335
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,07,22061
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,08,15259
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,09,9408
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,RURAL,1065062,10 AND UP,10709
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,TOTAL,77926
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,01,1897
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,02,7679
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,03,9408
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,04,11789
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,05,12688
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,06,11302
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,07,8202
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,08,5465
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,09,3359
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,URBAN,429793,10 AND UP,6137
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,TOTAL,39643
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,01,1017
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,02,4485
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,03,4995
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,04,5761
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,05,6129
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,06,5627
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,07,4280
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,08,2920
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,09,1757
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,TOTAL,212992,10 AND UP,2672
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,TOTAL,26455
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,01,673
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,02,3259
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,03,3456
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,04,3798
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,05,3931
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,06,3673
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,07,2870
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,08,1966
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,09,1192
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,RURAL,140016,10 AND UP,1637
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,TOTAL,13188
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,01,344
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,02,1226
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,03,1539
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,04,1963
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,05,2198
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,06,1954
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,07,1410
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,08,954
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,09,565
SINDH,098,MIRPUR KHAS DISTRICT,DIGRI TALUKA,URBAN,72976,10 AND UP,1035
SINDH,098,MIRPUR KHAS DISTRICT,HUSSAIN BUX MARI TALUKA,TOTAL,149313,TOTAL,28669
SINDH,098,MIRPUR KHAS DISTRICT,HUSSAIN BUX MARI TALUKA,TOTAL,149313,01,675
SINDH,098,MIRPUR KHAS DISTRICT,HUSSAIN BUX MARI TALUKA,TOTAL,149313,02,3999
