province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,KITCHEN,SEPARATE,161919,53.98,159752
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,KITCHEN,SHARED,75071,25.03,73608
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,KITCHEN,NONE,62973,20.99,60984
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,BATH,SEPARATE,134992,45,133146
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,BATH,SHARED,47727,15.91,46625
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,BATH,NONE,117244,39.09,114573
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,LATRINE,SEWER,7674,2.56,7179
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,LATRINE,SEPTIC TANK,9987,3.33,9773
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,LATRINE,OPEN DRAIN,16915,5.64,16319
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,LATRINE,PIT WITH SLAB,60700,20.24,59686
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,LATRINE,OTHER,46784,15.6,46558
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OWNED,294344,98.13,LATRINE,NONE,157903,52.64,154829
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,RENTED,1688,0.56,KITCHEN,SEPARATE,161919,53.98,994
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,RENTED,1688,0.56,KITCHEN,SHARED,75071,25.03,491
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,RENTED,1688,0.56,KITCHEN,NONE,62973,20.99,203
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,RENTED,1688,0.56,BATH,SEPARATE,134992,45,986
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,RENTED,1688,0.56,BATH,SHARED,47727,15.91,414
