province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,KITCHEN,SEPARATE,159752,54.27,1371
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,KITCHEN,SHARED,73608,25.01,544
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,KITCHEN,NONE,60984,20.72,577
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,BATH,SEPARATE,133146,45.23,1256
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,BATH,SHARED,46625,15.84,442
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,BATH,NONE,114573,38.92,794
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,LATRINE,SEWER,7179,2.44,143
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,LATRINE,SEPTIC TANK,9773,3.32,114
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,LATRINE,OPEN DRAIN,16319,5.54,168
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,LATRINE,PIT WITH SLAB,59686,20.28,695
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,LATRINE,OTHER,46558,15.82,292
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2492,0.85,LATRINE,NONE,154829,52.6,1080
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,KITCHEN,SEPARATE,159752,54.27,28082
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,KITCHEN,SHARED,73608,25.01,13150
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,KITCHEN,NONE,60984,20.72,12739
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,BATH,SEPARATE,133146,45.23,25055
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,BATH,SHARED,46625,15.84,9160
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,BATH,NONE,114573,38.92,19756
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,LATRINE,SEWER,7179,2.44,934
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,LATRINE,SEPTIC TANK,9773,3.32,2305
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,LATRINE,OPEN DRAIN,16319,5.54,2355
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,LATRINE,PIT WITH SLAB,59686,20.28,12919
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,LATRINE,OTHER,46558,15.82,8517
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,LESS THAN 5 YEARS,53971,18.34,LATRINE,NONE,154829,52.6,26941
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,KITCHEN,SEPARATE,159752,54.27,59530
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,KITCHEN,SHARED,73608,25.01,26031
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,KITCHEN,NONE,60984,20.72,22720
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,BATH,SEPARATE,133146,45.23,51158
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,BATH,SHARED,46625,15.84,16304
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,BATH,NONE,114573,38.92,40819
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,LATRINE,SEWER,7179,2.44,2640
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,LATRINE,SEPTIC TANK,9773,3.32,4278
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,LATRINE,OPEN DRAIN,16319,5.54,5641
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,LATRINE,PIT WITH SLAB,59686,20.28,21222
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,LATRINE,OTHER,46558,15.82,18206
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,5-10 YEARS,108281,36.79,LATRINE,NONE,154829,52.6,56294
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,KITCHEN,SEPARATE,159752,54.27,57507
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,KITCHEN,SHARED,73608,25.01,27597
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,KITCHEN,NONE,60984,20.72,19188
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,BATH,SEPARATE,133146,45.23,45214
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,BATH,SHARED,46625,15.84,17059
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,BATH,NONE,114573,38.92,42019
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,LATRINE,SEWER,7179,2.44,3188
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,LATRINE,SEPTIC TANK,9773,3.32,2770
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,LATRINE,OPEN DRAIN,16319,5.54,6252
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,LATRINE,PIT WITH SLAB,59686,20.28,20704
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,LATRINE,OTHER,46558,15.82,15127
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,11-50 YEARS,104292,35.43,LATRINE,NONE,154829,52.6,56251
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,KITCHEN,SEPARATE,159752,54.27,13262
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,KITCHEN,SHARED,73608,25.01,6286
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,KITCHEN,NONE,60984,20.72,5760
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,BATH,SEPARATE,133146,45.23,10463
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,BATH,SHARED,46625,15.84,3660
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,BATH,NONE,114573,38.92,11185
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,LATRINE,SEWER,7179,2.44,274
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,LATRINE,SEPTIC TANK,9773,3.32,306
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,LATRINE,OPEN DRAIN,16319,5.54,1903
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,LATRINE,PIT WITH SLAB,59686,20.28,4146
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,LATRINE,OTHER,46558,15.82,4416
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,TOTAL,OVER 50 YEARS,25308,8.6,LATRINE,NONE,154829,52.6,14263
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,RURAL,UNDER CONSTRUCTION,2171,0.81,KITCHEN,SEPARATE,141856,52.82,1115
SINDH,099,THARPARKAR DISTRICT,THARPARKAR DISTRICT,RURAL,UNDER CONSTRUCTION,2171,0.81,KITCHEN,SHARED,68487,25.5,501
