province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,5608,1073469,556470,516841,158,107.67,191.42,22.69,5.03,664797,2.55
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,RURAL,NA,829932,429030,400811,91,107.04,NA,NA,5.06,553333,2.15
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,URBAN,NA,243537,127440,116030,67,109.83,NA,NA,4.93,111464,4.19
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,TOTAL,585,218460,112266,106166,28,105.75,373.44,17.94,5.06,158215,1.71
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,RURAL,NA,179266,92326,86929,11,106.21,NA,NA,5.06,130349,1.69
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,URBAN,NA,39194,19940,19237,17,103.65,NA,NA,5.08,27866,1.81
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,TOTAL,855,120005,61909,58088,8,106.58,140.36,10.81,5.08,81182,2.07
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,RURAL,NA,107033,55282,51746,5,106.83,NA,NA,5.11,71204,2.16
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,URBAN,NA,12972,6627,6342,3,104.49,NA,NA,4.88,9978,1.39
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,TOTAL,959,170216,87520,82650,46,105.89,177.49,5.43,4.96,112647,2.19
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,RURAL,NA,160967,82738,78185,44,105.82,NA,NA,4.97,105274,2.26
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,URBAN,NA,9249,4782,4465,2,107.1,NA,NA,4.87,7373,1.2
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,TOTAL,3209,564788,294775,269937,76,109.2,176,32.25,5.02,312753,3.15
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,RURAL,NA,382666,198684,183951,31,108.01,NA,NA,5.08,246506,2.34
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,URBAN,NA,182122,96091,85986,45,111.75,NA,NA,4.91,66247,5.46
