province_name,district_code,district_name,area_name,area_type,gender,count
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,BOTH SEXES,25638
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,MALE,11930
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,FEMALE,13708
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,RURAL,BOTH SEXES,21110
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,RURAL,MALE,9640
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,RURAL,FEMALE,11470
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,URBAN,BOTH SEXES,4528
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,URBAN,MALE,2290
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,URBAN,FEMALE,2238
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,TOTAL,BOTH SEXES,2694
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,TOTAL,MALE,997
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,TOTAL,FEMALE,1697
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,RURAL,BOTH SEXES,1959
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,RURAL,MALE,570
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,RURAL,FEMALE,1389
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,URBAN,BOTH SEXES,735
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,URBAN,MALE,427
SINDH,100,UMER KOT DISTRICT,KUNRI TALUKA,URBAN,FEMALE,308
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,TOTAL,BOTH SEXES,2881
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,TOTAL,MALE,1457
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,TOTAL,FEMALE,1424
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,RURAL,BOTH SEXES,2819
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,RURAL,MALE,1409
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,RURAL,FEMALE,1410
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,URBAN,BOTH SEXES,62
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,URBAN,MALE,48
SINDH,100,UMER KOT DISTRICT,PITHORO TALUKA,URBAN,FEMALE,14
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,TOTAL,BOTH SEXES,6259
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,TOTAL,MALE,3128
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,TOTAL,FEMALE,3131
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,RURAL,BOTH SEXES,6234
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,RURAL,MALE,3112
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,RURAL,FEMALE,3122
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,URBAN,BOTH SEXES,25
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,URBAN,MALE,16
SINDH,100,UMER KOT DISTRICT,SAMARO TALUKA,URBAN,FEMALE,9
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,TOTAL,BOTH SEXES,13804
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,TOTAL,MALE,6348
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,TOTAL,FEMALE,7456
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,RURAL,BOTH SEXES,10098
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,RURAL,MALE,4549
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,RURAL,FEMALE,5549
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,URBAN,BOTH SEXES,3706
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,URBAN,MALE,1799
SINDH,100,UMER KOT DISTRICT,UMER KOT TALUKA,URBAN,FEMALE,1907
