province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,INSIDE WATER,TOTAL INSIDE,128808,61.35,100279
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,INSIDE WATER,TAP,40710,19.39,33848
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,INSIDE WATER,ELECTRIC/HAND PUMP,29072,13.85,24178
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,INSIDE WATER,PROTECTED WELL,8620,4.11,7797
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,INSIDE WATER,UN-PROTECTED WELL,16002,7.62,11649
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,INSIDE WATER,OTHERS,34404,16.39,22807
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,TOTAL OUTSIDE,81154,38.65,50086
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,TAP,14306,6.81,8192
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,ELECTRIC/HAND PUMP,12408,5.91,8807
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,PROTECTED WELL,1553,0.74,1144
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,UN-PROTECTED WELL,4184,1.99,2603
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,SPRING,177,0.08,108
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,CANAL/RIVER/POND,38325,18.25,21696
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,OUTSIDE WATER,OTHERS,10201,4.86,7536
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,COOKING FUEL,WOOD,203623,96.98,8192
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,COOKING FUEL,GAS,2340,1.11,8807
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,COOKING FUEL,KEROSENE OIL,603,0.29,1144
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,COOKING FUEL,OTHERS,3396,1.62,2603
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,LIGHTING SOURCE,ELECTRICITY,203623,96.98,145968
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,LIGHTING SOURCE,KEROSENE OIL,2340,1.11,1736
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,LIGHTING SOURCE,GAS LAMP,603,0.29,488
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,OWNED,150365,71.62,LIGHTING SOURCE,OTHERS,3396,1.62,2173
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,INSIDE WATER,TOTAL INSIDE,128808,61.35,3531
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,INSIDE WATER,TAP,40710,19.39,2281
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,INSIDE WATER,ELECTRIC/HAND PUMP,29072,13.85,730
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,INSIDE WATER,PROTECTED WELL,8620,4.11,69
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,INSIDE WATER,UN-PROTECTED WELL,16002,7.62,111
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,INSIDE WATER,OTHERS,34404,16.39,340
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,TOTAL OUTSIDE,81154,38.65,1290
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,TAP,14306,6.81,330
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,ELECTRIC/HAND PUMP,12408,5.91,75
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,PROTECTED WELL,1553,0.74,6
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,UN-PROTECTED WELL,4184,1.99,37
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,SPRING,177,0.08,7
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,CANAL/RIVER/POND,38325,18.25,388
SINDH,100,UMER KOT DISTRICT,UMER KOT DISTRICT,TOTAL,RENTED,4821,2.3,OUTSIDE WATER,OTHERS,10201,4.86,447
