province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,ALL SEXES,2049873,306387,45076,56510,64647,69143,71011,333458,70390,70807,62398,72794,57069,256574,64747,48483,54438,43993,44913,211956,45850,43675,38923,45813,37695,165932,42271,33258,33028,29690,27685,149657,32111,27012,30069,29579,30886,138035,29529,28908,28291,26255,25052,129096,25685,24289,31896,22083,25143,91313,19558,19257,19904,16479,16115,76507,14674,14847,17985,13884,15117,56296,12563,12928,11932,10290,8583,38500,8342,7212,9260,6482,7204,34456,6939,7212,7354,6613,6338,25590,5561,5230,5602,4727,4470,16306,3614,3768,3195,3368,2361,19810
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,MALE,1059051,155618,23340,28784,32757,34917,35820,175107,36744,36868,32708,38555,30232,137918,34542,25910,29402,23828,24236,113091,25123,23749,21131,23852,19236,85733,21685,16892,17331,15623,14202,74574,16434,13630,14992,14200,15318,68726,14616,14503,14309,13062,12236,65847,13116,12422,16313,11327,12669,45859,9921,9610,9469,8533,8326,39840,7730,7842,8806,7414,8048,30482,6759,6914,6106,5859,4844,20027,4558,3956,4464,3415,3634,16514,3345,3442,3341,3273,3113,12669,2824,2652,2566,2387,2240,7899,1747,1883,1479,1639,1151,9147
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,FEMALE,990578,150769,21736,27726,31890,34226,35191,158351,33646,33939,29690,34239,26837,118656,30205,22573,25036,20165,20677,98838,20719,19921,17788,21955,18455,80175,20580,16362,15690,14065,13478,75048,15665,13377,15071,15373,15562,69283,14899,14404,13974,13193,12813,63221,12560,11861,15578,10751,12471,45428,9625,9646,10426,7943,7788,36644,6935,7002,9173,6467,7067,25799,5794,6012,5824,4430,3739,18463,3779,3254,4793,3067,3570,17930,3583,3770,4012,3340,3225,12915,2736,2577,3032,2340,2230,8402,1864,1885,1716,1729,1208,10656
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,TRANSGENDER,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,5,4,6,4,24,6,4,7,2,5,35,12,5,6,6,6,26,14,1,8,0,3,28,9,6,5,5,3,26,12,1,9,3,1,23,9,3,6,3,2,15,10,2,2,1,0,10,5,2,3,0,0,12,11,0,1,0,0,6,1,1,4,0,0,5,3,0,0,0,2,7
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,ALL SEXES,1478154,233123,32987,43092,49866,52476,54702,253151,53549,54777,46165,56711,41949,187758,49832,34286,40495,30823,32322,147861,32415,31048,25768,33032,25598,113568,30494,22022,22615,19849,18588,103913,22711,18228,20676,20644,21654,96652,20924,20179,19740,18252,17557,92832,18348,17640,23609,15529,17706,62726,13409,13441,13721,11038,11117,53179,9980,10451,12787,9568,10393,37799,8485,8799,8077,6732,5706,26620,5601,5007,6676,4423,4913,24162,4974,4973,5188,4486,4541,18574,3947,3869,4202,3347,3209,11707,2658,2683,2286,2355,1725,14529
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,MALE,764910,118176,17068,21945,25184,26389,27590,133337,27938,28554,24342,30121,22382,101800,26696,18561,22026,16930,17587,79761,18075,17151,14260,17203,13072,59022,15678,11207,12042,10508,9587,51658,11640,9214,10305,9818,10681,47537,10286,9975,9918,8946,8412,47367,9407,8930,12165,7960,8905,31184,6746,6601,6465,5686,5686,27524,5212,5418,6235,5097,5562,20574,4562,4721,4134,3918,3239,13648,3002,2678,3154,2303,2511,11595,2404,2378,2346,2231,2236,9207,2004,1948,1900,1732,1623,5733,1289,1349,1053,1194,848,6787
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,FEMALE,713094,114947,15919,21147,24682,26087,27112,119814,25611,26223,21823,26590,19567,85958,23136,15725,18469,13893,14735,68082,14334,13895,11506,15824,12523,54531,14813,10812,10568,9341,8997,52235,11061,9013,10370,10823,10968,49101,10632,10204,9816,9306,9143,45444,8935,8705,11440,7565,8799,31525,6657,6839,7248,5350,5431,25644,4764,5031,6549,4469,4831,17215,3916,4078,3941,2813,2467,12967,2595,2329,3521,2120,2402,12559,2563,2595,2841,2255,2305,9364,1943,1920,2300,1615,1586,5971,1367,1334,1233,1161,876,7737
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,TRANSGENDER,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,2,2,5,3,15,3,3,5,0,4,20,10,1,1,3,5,14,6,0,6,0,2,21,6,5,4,4,2,17,6,1,8,2,0,11,4,2,3,2,0,10,7,0,2,1,0,5,4,0,1,0,0,8,7,0,1,0,0,3,0,1,2,0,0,3,2,0,0,0,1,5
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,ALL SEXES,571719,73264,12089,13418,14781,16667,16309,80307,16841,16030,16233,16083,15120,68816,14915,14197,13943,13170,12591,64095,13435,12627,13155,12781,12097,52364,11777,11236,10413,9841,9097,45744,9400,8784,9393,8935,9232,41383,8605,8729,8551,8003,7495,36264,7337,6649,8287,6554,7437,28587,6149,5816,6183,5441,4998,23328,4694,4396,5198,4316,4724,18497,4078,4129,3855,3558,2877,11880,2741,2205,2584,2059,2291,10294,1965,2239,2166,2127,1797,7016,1614,1361,1400,1380,1261,4599,956,1085,909,1013,636,5281
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,MALE,294141,37442,6272,6839,7573,8528,8230,41770,8806,8314,8366,8434,7850,36118,7846,7349,7376,6898,6649,33330,7048,6598,6871,6649,6164,26711,6007,5685,5289,5115,4615,22916,4794,4416,4687,4382,4637,21189,4330,4528,4391,4116,3824,18480,3709,3492,4148,3367,3764,14675,3175,3009,3004,2847,2640,12316,2518,2424,2571,2317,2486,9908,2197,2193,1972,1941,1605,6379,1556,1278,1310,1112,1123,4919,941,1064,995,1042,877,3462,820,704,666,655,617,2166,458,534,426,445,303,2360
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,FEMALE,277484,35822,5817,6579,7208,8139,8079,38537,8035,7716,7867,7649,7270,32698,7069,6848,6567,6272,5942,30756,6385,6026,6282,6131,5932,25644,5767,5550,5122,4724,4481,22813,4604,4364,4701,4550,4594,20182,4267,4200,4158,3887,3670,17777,3625,3156,4138,3186,3672,13903,2968,2807,3178,2593,2357,11000,2171,1971,2624,1998,2236,8584,1878,1934,1883,1617,1272,5496,1184,925,1272,947,1168,5371,1020,1175,1171,1085,920,3551,793,657,732,725,644,2431,497,551,483,568,332,2919
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,TRANSGENDER,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,2,1,1,9,3,1,2,2,1,15,2,4,5,3,1,12,8,1,2,0,1,7,3,1,1,1,1,9,6,0,1,1,1,12,5,1,3,1,2,5,3,2,0,0,0,5,1,2,2,0,0,4,4,0,0,0,0,3,1,0,2,0,0,2,1,0,0,0,1,2
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,ALL SEXES,153193,25073,3462,4898,5321,5774,5618,26683,5796,5680,5038,5877,4292,18827,5167,3562,3928,3095,3075,15323,3376,3114,2613,3493,2727,11555,3251,2221,2252,1942,1889,10580,2301,1730,2158,1976,2415,9920,2098,2097,2069,1895,1761,9702,1950,1650,2600,1494,2008,6569,1411,1327,1502,1214,1115,5653,1044,971,1539,1003,1096,3902,855,864,895,683,605,2710,577,446,680,474,533,2488,491,497,547,468,485,1729,395,308,406,315,305,1108,268,272,181,215,172,1371
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,MALE,79179,12785,1770,2518,2664,2975,2858,14201,3076,2993,2664,3205,2263,10250,2775,1931,2158,1696,1690,8166,1864,1728,1411,1764,1399,5906,1673,1065,1210,1002,956,5206,1123,890,1062,925,1206,4862,1018,1048,1026,932,838,5017,1028,846,1331,783,1029,3247,695,656,698,608,590,2934,544,526,722,544,598,2105,453,453,469,389,341,1367,287,247,314,254,265,1171,215,227,245,246,238,809,191,155,177,144,142,509,136,124,78,95,76,644
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,FEMALE,74000,12288,1692,2380,2657,2799,2760,12482,2720,2687,2374,2672,2029,8577,2392,1631,1770,1399,1385,7154,1511,1385,1202,1729,1327,5649,1578,1156,1042,940,933,5373,1178,840,1096,1050,1209,5056,1078,1049,1043,963,923,4684,921,804,1269,711,979,3319,713,671,804,606,525,2717,499,444,817,459,498,1797,402,411,426,294,264,1343,290,199,366,220,268,1316,275,270,302,222,247,920,204,153,229,171,163,599,132,148,103,120,96,726
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,TRANSGENDER,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,RURAL,ALL SEXES,125985,21152,2905,4121,4495,4875,4756,22386,4849,4833,4173,4937,3594,15387,4293,2934,3203,2494,2463,12314,2696,2553,2033,2874,2158,9238,2589,1731,1818,1568,1532,8649,1917,1400,1768,1606,1958,8086,1698,1732,1653,1556,1447,7973,1576,1361,2177,1211,1648,5258,1089,1066,1200,989,914,4651,843,794,1275,823,916,3124,664,688,739,540,493,2212,460,371,572,396,413,2040,393,405,464,382,396,1466,329,255,355,268,259,907,220,226,141,174,146,1142
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,RURAL,MALE,65078,10759,1464,2119,2249,2480,2447,11907,2561,2553,2211,2697,1885,8355,2308,1596,1764,1352,1335,6625,1507,1446,1111,1457,1104,4692,1339,832,981,779,761,4228,920,721,867,755,965,3949,817,869,814,764,685,4133,824,689,1126,644,850,2597,526,519,574,491,487,2391,438,422,586,447,498,1703,360,359,392,307,285,1117,234,200,268,209,206,974,174,193,206,202,199,690,160,129,154,124,123,417,114,103,60,76,64,541
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,RURAL,FEMALE,60897,10393,1441,2002,2246,2395,2309,10479,2288,2280,1962,2240,1709,7032,1985,1338,1439,1142,1128,5687,1188,1107,922,1417,1053,4546,1250,899,837,789,771,4420,997,679,901,850,993,4135,879,863,839,792,762,3840,752,672,1051,567,798,2659,561,547,626,498,427,2258,404,371,689,376,418,1421,304,329,347,233,208,1095,226,171,304,187,207,1065,218,212,258,180,197,776,169,126,201,144,136,490,106,123,81,98,82,601
