province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,1,9816,2.64,1.31,251715,67.82,4.97,8167
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,1,46650,12.57,1.3,251715,67.82,4.97,38256
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,1,46441,12.51,1.35,251715,67.82,4.97,36442
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,1,50669,13.65,1.42,251715,67.82,4.97,37328
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,1,50815,13.69,1.49,251715,67.82,4.97,35259
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,6 PERSONS,1,47776,12.87,1.55,251715,67.82,4.97,31186
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,1,39297,10.59,1.61,251715,67.82,4.97,24277
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,1,29430,7.93,1.66,251715,67.82,4.97,17309
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,1,19859,5.35,1.73,251715,67.82,4.97,10884
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,30385,8.19,2.12,251715,67.82,4.97,12607
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,2,9816,2.64,1.31,78583,21.17,6.23,1049
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,2,46650,12.57,1.3,78583,21.17,6.23,5714
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,2,46441,12.51,1.35,78583,21.17,6.23,6852
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,2,50669,13.65,1.42,78583,21.17,6.23,9166
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,2,50815,13.69,1.49,78583,21.17,6.23,10653
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,6 PERSONS,2,47776,12.87,1.55,78583,21.17,6.23,11387
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,2,39297,10.59,1.61,78583,21.17,6.23,10160
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,2,29430,7.93,1.66,78583,21.17,6.23,8187
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,2,19859,5.35,1.73,78583,21.17,6.23,5910
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,30385,8.19,2.12,78583,21.17,6.23,9505
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,3,9816,2.64,1.31,22995,6.2,6.81,300
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,3,46650,12.57,1.3,22995,6.2,6.81,1397
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,3,46441,12.51,1.35,22995,6.2,6.81,1773
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,3,50669,13.65,1.42,22995,6.2,6.81,2457
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,3,50815,13.69,1.49,22995,6.2,6.81,2866
