province_name,district_code,district_name,area_name,area_type,gender,count
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,ALL SEXES,280469
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,MALE,267223
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,FEMALE,13242
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,TRANSGENDER,4
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,ALL SEXES,202136
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,MALE,192979
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,FEMALE,9156
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,TRANSGENDER,1
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,ALL SEXES,78333
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,MALE,74244
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,FEMALE,4086
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,TRANSGENDER,3
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,ALL SEXES,17203
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,MALE,16425
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,FEMALE,777
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,TOTAL,TRANSGENDER,1
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,RURAL,ALL SEXES,13675
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,RURAL,MALE,13149
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,RURAL,FEMALE,525
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,RURAL,TRANSGENDER,1
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,URBAN,ALL SEXES,3528
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,URBAN,MALE,3276
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,URBAN,FEMALE,252
SINDH,101,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,URBAN,TRANSGENDER,0
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,TOTAL,ALL SEXES,43703
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,TOTAL,MALE,41417
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,TOTAL,FEMALE,2285
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,TOTAL,TRANSGENDER,1
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,RURAL,ALL SEXES,37713
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,RURAL,MALE,35710
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,RURAL,FEMALE,2003
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,RURAL,TRANSGENDER,0
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,URBAN,ALL SEXES,5990
SINDH,101,SANGHAR DISTRICT,KHIPRO TALUKA,URBAN,MALE,5707
