province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,1,6308,2.25,182889,65.21,3997
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,1,54440,19.41,182889,65.21,37745
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,1,104570,37.28,182889,65.21,69506
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,1,102252,36.46,182889,65.21,63762
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,1,12899,4.6,182889,65.21,7879
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2,6308,2.25,63402,22.61,1448
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,2,54440,19.41,63402,22.61,11085
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,2,104570,37.28,63402,22.61,23856
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,2,102252,36.46,63402,22.61,23848
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,2,12899,4.6,63402,22.61,3165
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,3,6308,2.25,18793,6.7,421
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,3,54440,19.41,18793,6.7,3200
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,3,104570,37.28,18793,6.7,6359
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,3,102252,36.46,18793,6.7,7841
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,3,12899,4.6,18793,6.7,972
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,4,6308,2.25,8328,2.97,242
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,4,54440,19.41,8328,2.97,1186
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,4,104570,37.28,8328,2.97,2692
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,4,102252,36.46,8328,2.97,3777
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,4,12899,4.6,8328,2.97,431
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,5,6308,2.25,2686,0.96,79
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,5,54440,19.41,2686,0.96,414
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,5,104570,37.28,2686,0.96,758
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,5,102252,36.46,2686,0.96,1249
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,5,12899,4.6,2686,0.96,186
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,6,6308,2.25,1337,0.48,24
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,6,54440,19.41,1337,0.48,228
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,6,104570,37.28,1337,0.48,385
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,6,102252,36.46,1337,0.48,628
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,6,12899,4.6,1337,0.48,72
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,7,6308,2.25,1881,0.67,54
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,7,54440,19.41,1881,0.67,418
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,7,104570,37.28,1881,0.67,601
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,7,102252,36.46,1881,0.67,705
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,7,12899,4.6,1881,0.67,103
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,8,6308,2.25,376,0.13,20
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,8,54440,19.41,376,0.13,45
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,8,104570,37.28,376,0.13,130
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,8,102252,36.46,376,0.13,155
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,8,12899,4.6,376,0.13,26
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,6308,2.25,777,0.28,23
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,54440,19.41,777,0.28,119
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,104570,37.28,777,0.28,283
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,102252,36.46,777,0.28,287
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,12899,4.6,777,0.28,65
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,UNDER CONSTRUCTION,1,4612,2.28,143515,71,3200
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,LESS THAN 5 YEARS,1,44735,22.13,143515,71,32935
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5-10 YEARS,1,79331,39.25,143515,71,56265
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,11-50 YEARS,1,63941,31.63,143515,71,44756
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OVER 50 YEARS,1,9517,4.71,143515,71,6359
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,UNDER CONSTRUCTION,2,4612,2.28,40733,20.15,936
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,LESS THAN 5 YEARS,2,44735,22.13,40733,20.15,8341
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5-10 YEARS,2,79331,39.25,40733,20.15,16648
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,11-50 YEARS,2,63941,31.63,40733,20.15,12675
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OVER 50 YEARS,2,9517,4.71,40733,20.15,2133
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,UNDER CONSTRUCTION,3,4612,2.28,10237,5.06,240
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,LESS THAN 5 YEARS,3,44735,22.13,10237,5.06,2043
