province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,WALL,BAKED BRICKS/BLOCKS/STONES,174363,46.98,152803
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,WALL,UNBAKED BRICKS/MUD,86767,23.38,60023
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,WALL,WOOD/BAMBOO,97196,26.19,60417
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,WALL,OTHERS,12812,3.45,7226
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,ROOF,RCC/RBC,27427,7.39,21834
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,ROOF,CEMENT/IRON SHEETS,7773,2.09,6729
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,ROOF,GARDER/T.IRON,135067,36.39,120255
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,ROOF,WOOD/BAMBOO,189742,51.12,125486
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,OWNED,280469,75.57,ROOF,OTHERS,11129,3,6165
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,WALL,BAKED BRICKS/BLOCKS/STONES,174363,46.98,11111
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,WALL,UNBAKED BRICKS/MUD,86767,23.38,1661
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,WALL,WOOD/BAMBOO,97196,26.19,1326
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,WALL,OTHERS,12812,3.45,326
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,ROOF,RCC/RBC,27427,7.39,3803
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,ROOF,CEMENT/IRON SHEETS,7773,2.09,274
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,ROOF,GARDER/T.IRON,135067,36.39,6956
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,ROOF,WOOD/BAMBOO,189742,51.12,3090
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENTED,14424,3.89,ROOF,OTHERS,11129,3,301
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,WALL,BAKED BRICKS/BLOCKS/STONES,174363,46.98,10449
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,WALL,UNBAKED BRICKS/MUD,86767,23.38,25083
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,WALL,WOOD/BAMBOO,97196,26.19,35453
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,WALL,OTHERS,12812,3.45,5260
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,ROOF,RCC/RBC,27427,7.39,1790
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,ROOF,CEMENT/IRON SHEETS,7773,2.09,770
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,ROOF,GARDER/T.IRON,135067,36.39,7856
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,ROOF,WOOD/BAMBOO,189742,51.12,61166
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,RENT FREE,76245,20.54,ROOF,OTHERS,11129,3,4663
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,WALL,BAKED BRICKS/BLOCKS/STONES,93830,34.56,86979
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,WALL,UNBAKED BRICKS/MUD,77094,28.39,52891
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,WALL,WOOD/BAMBOO,89695,33.03,56241
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,WALL,OTHERS,10910,4.02,6025
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,ROOF,RCC/RBC,3837,1.41,3498
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,ROOF,CEMENT/IRON SHEETS,6260,2.31,5497
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,ROOF,GARDER/T.IRON,83085,30.6,76912
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,ROOF,WOOD/BAMBOO,168873,62.19,111140
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OWNED,202136,74.44,ROOF,OTHERS,9474,3.49,5089
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,WALL,BAKED BRICKS/BLOCKS/STONES,93830,34.56,706
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,WALL,UNBAKED BRICKS/MUD,77094,28.39,1039
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,WALL,WOOD/BAMBOO,89695,33.03,1142
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,WALL,OTHERS,10910,4.02,209
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,ROOF,RCC/RBC,3837,1.41,60
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,ROOF,CEMENT/IRON SHEETS,6260,2.31,102
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,ROOF,GARDER/T.IRON,83085,30.6,651
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,ROOF,WOOD/BAMBOO,168873,62.19,2096
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENTED,3096,1.14,ROOF,OTHERS,9474,3.49,187
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,WALL,BAKED BRICKS/BLOCKS/STONES,93830,34.56,6145
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,WALL,UNBAKED BRICKS/MUD,77094,28.39,23164
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,WALL,WOOD/BAMBOO,89695,33.03,32312
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,WALL,OTHERS,10910,4.02,4676
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,ROOF,RCC/RBC,3837,1.41,279
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,ROOF,CEMENT/IRON SHEETS,6260,2.31,661
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,ROOF,GARDER/T.IRON,83085,30.6,5522
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,ROOF,WOOD/BAMBOO,168873,62.19,55637
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,RENT FREE,66297,24.42,ROOF,OTHERS,9474,3.49,4198
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,WALL,BAKED BRICKS/BLOCKS/STONES,80533,80.85,65824
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,WALL,UNBAKED BRICKS/MUD,9673,9.71,7132
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,WALL,WOOD/BAMBOO,7501,7.53,4176
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,WALL,OTHERS,1902,1.91,1201
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,ROOF,RCC/RBC,23590,23.68,18336
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,ROOF,CEMENT/IRON SHEETS,1513,1.52,1232
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,ROOF,GARDER/T.IRON,51982,52.19,43343
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,ROOF,WOOD/BAMBOO,20869,20.95,14346
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,OWNED,78333,78.64,ROOF,OTHERS,1655,1.66,1076
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,WALL,BAKED BRICKS/BLOCKS/STONES,80533,80.85,10405
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,WALL,UNBAKED BRICKS/MUD,9673,9.71,622
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,WALL,WOOD/BAMBOO,7501,7.53,184
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,WALL,OTHERS,1902,1.91,117
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,ROOF,RCC/RBC,23590,23.68,3743
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,ROOF,CEMENT/IRON SHEETS,1513,1.52,172
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,ROOF,GARDER/T.IRON,51982,52.19,6305
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,ROOF,WOOD/BAMBOO,20869,20.95,994
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENTED,11328,11.37,ROOF,OTHERS,1655,1.66,114
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENT FREE,9948,9.99,WALL,BAKED BRICKS/BLOCKS/STONES,80533,80.85,4304
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,RENT FREE,9948,9.99,WALL,UNBAKED BRICKS/MUD,9673,9.71,1919
