province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,marital_status,count
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,ALL AGES,670,NEVER MARRIED,399
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,122,NEVER MARRIED,122
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,05-09,114,NEVER MARRIED,114
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,10-14,75,NEVER MARRIED,74
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,15-24,135,NEVER MARRIED,76
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,25-34,86,NEVER MARRIED,6
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,35-44,58,NEVER MARRIED,4
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,45-54,47,NEVER MARRIED,1
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,55-64,23,NEVER MARRIED,2
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,65-74,7,NEVER MARRIED,0
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,3,NEVER MARRIED,0
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,ALL AGES,670,MARRIED,252
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,122,MARRIED,0
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,05-09,114,MARRIED,0
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,10-14,75,MARRIED,1
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,15-24,135,MARRIED,59
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,ALL SEXES,25-34,86,MARRIED,79
