province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,WALL,BAKED BRICKS/BLOCKS/STONES,118906,46.92,4106
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,WALL,UNBAKED BRICKS/MUD,105790,41.74,2149
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,WALL,WOOD/BAMBOO,23859,9.41,570
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,WALL,OTHERS,4889,1.93,303
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,ROOF,RCC/RBC,7217,2.85,1449
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,ROOF,CEMENT/IRON SHEETS,6654,2.63,624
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,ROOF,GARDER/T.IRON,148814,58.72,3017
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,ROOF,WOOD/BAMBOO,86596,34.17,1735
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,UNDER CONSTRUCTION,7128,2.81,ROOF,OTHERS,4163,1.64,303
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,WALL,BAKED BRICKS/BLOCKS/STONES,118906,46.92,20142
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,WALL,UNBAKED BRICKS/MUD,105790,41.74,16001
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,WALL,WOOD/BAMBOO,23859,9.41,4234
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,WALL,OTHERS,4889,1.93,871
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,ROOF,RCC/RBC,7217,2.85,1311
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,ROOF,CEMENT/IRON SHEETS,6654,2.63,1608
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,ROOF,GARDER/T.IRON,148814,58.72,24542
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,ROOF,WOOD/BAMBOO,86596,34.17,12968
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,LESS THAN 5 YEARS,41248,16.27,ROOF,OTHERS,4163,1.64,819
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,WALL,BAKED BRICKS/BLOCKS/STONES,118906,46.92,45698
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,WALL,UNBAKED BRICKS/MUD,105790,41.74,38941
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,WALL,WOOD/BAMBOO,23859,9.41,9285
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,WALL,OTHERS,4889,1.93,1607
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,ROOF,RCC/RBC,7217,2.85,2120
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,ROOF,CEMENT/IRON SHEETS,6654,2.63,2226
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,ROOF,GARDER/T.IRON,148814,58.72,58492
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,ROOF,WOOD/BAMBOO,86596,34.17,31101
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,5-10 YEARS,95531,37.69,ROOF,OTHERS,4163,1.64,1592
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,WALL,BAKED BRICKS/BLOCKS/STONES,118906,46.92,46344
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,WALL,UNBAKED BRICKS/MUD,105790,41.74,45053
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,WALL,WOOD/BAMBOO,23859,9.41,8743
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,WALL,OTHERS,4889,1.93,1902
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,ROOF,RCC/RBC,7217,2.85,2126
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,ROOF,CEMENT/IRON SHEETS,6654,2.63,1840
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,ROOF,GARDER/T.IRON,148814,58.72,59018
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,ROOF,WOOD/BAMBOO,86596,34.17,37757
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,11-50 YEARS,102042,40.26,ROOF,OTHERS,4163,1.64,1301
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,WALL,BAKED BRICKS/BLOCKS/STONES,118906,46.92,2616
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,WALL,UNBAKED BRICKS/MUD,105790,41.74,3646
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,WALL,WOOD/BAMBOO,23859,9.41,1027
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,WALL,OTHERS,4889,1.93,206
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,ROOF,RCC/RBC,7217,2.85,211
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,ROOF,CEMENT/IRON SHEETS,6654,2.63,356
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,ROOF,GARDER/T.IRON,148814,58.72,3745
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,ROOF,WOOD/BAMBOO,86596,34.17,3035
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,TOTAL,OVER 50 YEARS,7495,2.96,ROOF,OTHERS,4163,1.64,148
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,WALL,BAKED BRICKS/BLOCKS/STONES,76102,38.14,3421
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,WALL,UNBAKED BRICKS/MUD,96760,48.49,2009
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,WALL,WOOD/BAMBOO,22572,11.31,508
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,WALL,OTHERS,4125,2.07,271
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,ROOF,RCC/RBC,3607,1.81,1367
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,ROOF,CEMENT/IRON SHEETS,5703,2.86,581
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,ROOF,GARDER/T.IRON,107258,53.75,2383
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,ROOF,WOOD/BAMBOO,79592,39.88,1609
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,UNDER CONSTRUCTION,6209,3.11,ROOF,OTHERS,3399,1.7,269
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,WALL,BAKED BRICKS/BLOCKS/STONES,76102,38.14,14418
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,WALL,UNBAKED BRICKS/MUD,96760,48.49,14822
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,WALL,WOOD/BAMBOO,22572,11.31,4071
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,WALL,OTHERS,4125,2.07,782
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,ROOF,RCC/RBC,3607,1.81,523
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,ROOF,CEMENT/IRON SHEETS,5703,2.86,1391
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,ROOF,GARDER/T.IRON,107258,53.75,19334
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,ROOF,WOOD/BAMBOO,79592,39.88,12115
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,LESS THAN 5 YEARS,34093,17.08,ROOF,OTHERS,3399,1.7,730
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,WALL,BAKED BRICKS/BLOCKS/STONES,76102,38.14,29683
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,WALL,UNBAKED BRICKS/MUD,96760,48.49,36103
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,WALL,WOOD/BAMBOO,22572,11.31,8900
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,WALL,OTHERS,4125,2.07,1328
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,ROOF,RCC/RBC,3607,1.81,794
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,ROOF,CEMENT/IRON SHEETS,5703,2.86,1893
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,ROOF,GARDER/T.IRON,107258,53.75,42978
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,ROOF,WOOD/BAMBOO,79592,39.88,29042
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,5-10 YEARS,76014,38.09,ROOF,OTHERS,3399,1.7,1307
SINDH,102,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE DISTRICT,RURAL,11-50 YEARS,77023,38.6,WALL,BAKED BRICKS/BLOCKS/STONES,76102,38.14,26752
